row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2021 VND,Năm 2020 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2021 VND,numeric__Năm 2020 VND
Bán hàng,Bán hàng,Bán hàng,,,330.000.000,658.481.889,,,330000000.0,658481889.0
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Cho thuê Tài sản cố định,90.000.000,120.000.000,,,90000000.0,120000000.0
Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty con,Doanh thu dịch vụ,240.000.000,480.000.000,,,240000000.0,480000000.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,Doanh thu dịch vụ,-,58.481.889,,,,58481889.0
Mua hàng,Mua hàng,Mua hàng,,,4.262.846.296,5.602.040.589,,,4262846296.0,5602040589.0
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty con,Dịch vụ vận hành tòa nhà,4.070.846.296,4.336.601.455,,,4070846296.0,4336601455.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,Mua dịch vụ,192.000.000,426.997.659,,,192000000.0,426997659.0
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Mua dịch vụ,-,838.441.475,,,,838441475.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2021 VND,Năm 2020 VND,,,,
Vay,Các bên liên quan > Vay,Vay,,,40.846.170.310,67.106.258.706,,,40846170310.0,67106258706.0
Công ty TNHH MTV Tasco Hải Phòng,Các bên liên quan > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,Vay ngắn hạn,-,11.629.437.480,,,,11629437480.0
Phạm Quang Dũng,Các bên liên quan > Phạm Quang Dũng,Phạm Quang Dũng,Cổ đông lớn,Vay ngắn hạn,40.846.170.310,55.476.821.226,,,40846170310.0,55476821226.0
