row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chấtgiao dịch,31/12/2021VND,01/01/2021VND,numeric__Mối quan hệ,numeric__Tính chấtgiao dịch,numeric__31/12/2021VND,numeric__01/01/2021VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,758.818.607,791.818.607,,,758818607.0,791818607.0
Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần bệnh viện mất Hà Nội cơ sở 2,Công ty con,Phải thu khách hàng,529.060.000,529.060.000,,,529060000.0,529060000.0
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Phải thu khách hàng,14.850.000,47.850.000,,,14850000.0,47850000.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty con,Phải thu khách hàng,214.908.607,214.908.607,,,214908607.0,214908607.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chấtgiao dịch,31/12/2021VND,01/01/2021VND,,,,
Phải thu về cho vay ngắn hạn,Các bên liên quan > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,467.908.858.861,381.703.000.000,,,467908858861.0,381703000000.0
Công ty Cổ phần Bệnh viện Mất Hà Nội cơ sở 2,Các bên liên quan > Công ty Cổ phần Bệnh viện Mất Hà Nội cơ sở 2,Công ty Cổ phần Bệnh viện Mất Hà Nội cơ sở 2,Công ty con,Phải thu về cho vay ngắn hạn,43.776.000.000,46.776.000.000,,,43776000000.0,46776000000.0
Công ty TNHH BOT Hùng Thắng - Phú Thọ,Các bên liên quan > Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty liên kết,Phải thu về cho vay ngắn hạn,5.740.000.000,5.650.000.000,,,5740000000.0,5650000000.0
Công ty TNHH MTV Tasco Quảng Bình,Các bên liên quan > Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty con,Phải thu về cho vay ngắn hạn,-,2.000.000.000,,,,2000000000.0
Công ty TNHH thu phí tự động VETC,Các bên liên quan > Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty con,Phải thu về cho vay ngắn hạn,418.392.858.861,327.277.000.000,,,418392858861.0,327277000000.0
