row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
Số dư tại 01/01/2020,Số dư tại 01/01/2020,Số dư tại 01/01/2020,2.686.319.650.000,84.921.165.989,117.253.273.161,434.908.545.461,3.323.402.634.611,2686319650000.0,84921165989.0,117253273161.0,434908545461.0,3323402634611.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,2.679.000.000,43.535.287.467,46.214.287.467,,,2679000000.0,43535287467.0,46214287467.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,,-,41.929.360.272,41.929.360.272,,,,41929360272.0,41929360272.0
Tăng khác,Tăng khác,Tăng khác,-,-,2.679.000.000,1.605.927.195,4.284.927.195,,,2679000000.0,1605927195.0,4284927195.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(96.942.397),-,(3.215.000.000),(3.311.942.397),,-96942397.0,,-3215000000.0,-3311942397.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,,-,(3.215.000.000),(3.215.000.000),,,,-3215000000.0,-3215000000.0
Giảm khác,Giảm khác,Giảm khác,-,(96.942.397),-,-,(96.942.397),,-96942397.0,,,-96942397.0
Số dư tại 31/12/2020,Số dư tại 31/12/2020,Số dư tại 31/12/2020,2.686.319.650.000,84.824.223.592,119.932.273.161,475.228.832.928,3.366.304.979.681,2686319650000.0,84824223592.0,119932273161.0,475228832928.0,3366304979681.0
Số dư tại 01/01/2021,Số dư tại 01/01/2021,Số dư tại 01/01/2021,2.686.319.650.000,84.824.223.592,119.932.273.161,475.228.832.928,3.366.304.979.681,2686319650000.0,84824223592.0,119932273161.0,475228832928.0,3366304979681.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,800.000.000.000,-,-,58.391.849.325,858.391.849.325,800000000000.0,,,58391849325.0,858391849325.0
Tăng vốn (*),Tăng vốn (*),Tăng vốn (*),800.000.000.000,,-,-,800.000.000.000,800000000000.0,,,,800000000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,,-,58.165.536.700,58.165.536.700,,,,58165536700.0,58165536700.0
Tăng khác,Tăng khác,Tăng khác,-,,,226.312.625,226.312.625,,,,226312625.0,226312625.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(282.640.197),-,-,(282.640.197),,-282640197.0,,,-282640197.0
Giảm khác,Giảm khác,Giảm khác,-,(282.640.197),-,-,(282.640.197),,-282640197.0,,,-282640197.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.486.319.650.000,84.541.583.395,119.932.273.161,533.620.682.253,4.224.414.188.809,3486319650000.0,84541583395.0,119932273161.0,533620682253.0,4224414188809.0
