row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2021 VND,Năm 2020 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2021 VND,numeric__Năm 2020 VND
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,94.205.858.861,101.646.300.000,,,94205858861.0,101646300000.0
Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty con,Cho vay,94.115.858.861,94.080.000.000,,,94115858861.0,94080000000.0
Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Công ty con,Cho vay,-,3.000.000.000,,,,3000000000.0
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty liên kết,Cho vay,90.000.000,900.000.000,,,90000000.0,900000000.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,Cho vay,-,3.666.300.000,,,,3666300000.0
Lãi vay,Lãi vay,Lãi vay,Lãi vay,Lãi vay,1.191.263.836,1.113.443.014,,,1191263836.0,1113443014.0
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty liên kết,Lãi vay,1.191.263.836,1.113.443.014,,,1191263836.0,1113443014.0
Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,76.220.423.802,67.486.364.103,,,76220423802.0,67486364103.0
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Cổ tức từ hoạt động đầu tư,4.854.502.500,5.664.589.471,,,4854502500.0,5664589471.0
Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,Công ty CP Đầu tư phát triển nhà và đô thị HUD 8,Đầu tư khác,Cổ tức từ hoạt động đầu tư,900.000.000,900.000.000,,,900000000.0,900000000.0
Công ty TNHH Một thành viên Tasco Quảng Bình,Công ty TNHH Một thành viên Tasco Quảng Bình,Công ty TNHH Một thành viên Tasco Quảng Bình,Công ty con,Cổ tức từ hoạt động đầu tư,34.300.000.000,33.800.000.000,,,34300000000.0,33800000000.0
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,Cổ tức từ hoạt động đầu tư,36.165.921.302,27.121.774.632,,,36165921302.0,27121774632.0
