row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị,31/12/2021 > Dự phòng,01/01/2021 > Giá trị,01/01/2021 > Dự phòng,numeric__31/12/2021 > Giá trị,numeric__31/12/2021 > Dự phòng,numeric__01/01/2021 > Giá trị,numeric__01/01/2021 > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,607.345.036.377,(5.400.421.625),415.851.238.954,(5.400.421.625),607345036377.0,-5400421625.0,415851238954.0,-5400421625.0
Tạm ứng,Tạm ứng,Tạm ứng,11.815.778.628,(3.286.973.157),15.812.224.224,(3.286.973.157),11815778628.0,-3286973157.0,15812224224.0,-3286973157.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",-,-,40.500.000.000,-,,,40500000000.0,
Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,215.927.738.420,-,215.927.738.420,-,215927738420.0,,215927738420.0,
Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,48.324.177.720,-,48.324.177.720,-,48324177720.0,,48324177720.0,
Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,157.500.000.000,-,-,-,157500000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,173.777.341.609,(2.113.448.468),95.287.098.590,(2.113.448.468),173777341609.0,-2113448468.0,95287098590.0,-2113448468.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,380.253.106.319,-,402.352.143.091,-,380253106319.0,,402352143091.0,
Ký quỹ dài hạn (ii),Ký quỹ dài hạn (ii),Ký quỹ dài hạn (ii),66.607.313.848,-,63.734.215.566,-,66607313848.0,,63734215566.0,
Phải thu chi phí xây dựng,Phải thu chi phí xây dựng,Phải thu chi phí xây dựng,255.077.574.094,-,280.064.272.815,-,255077574094.0,,280064272815.0,
Các khoản khác,Các khoản khác,Các khoản khác,58.568.218.377,-,58.553.654.710,-,58568218377.0,,58553654710.0,
Tổng,Tổng,Tổng,987.598.142.696,(5.400.421.625),818.203.382.045,(5.400.421.625),987598142696.0,-5400421625.0,818203382045.0,-5400421625.0
