row_label_raw,row_label_full,col_0,01/01/2021,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2021,numeric__01/01/2021,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__31/12/2021
Phải nộp,Phải nộp,Phải nộp,18.911.141.740,85.469.998.908,82.489.398.851,21.891.741.797,18911141740.0,85469998908.0,82489398851.0,21891741797.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,801.184.219,30.019.227.336,25.384.323.977,5.436.087.578,801184219.0,30019227336.0,25384323977.0,5436087578.0
Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),17.924.283.138,50.402.969.192,52.122.133.286,16.205.119.044,17924283138.0,50402969192.0,52122133286.0,16205119044.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,185.674.383,2.915.617.732,2.850.756.940,250.535.175,185674383.0,2915617732.0,2850756940.0,250535175.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,2.120.057.432,2.120.057.432,-,,2120057432.0,2120057432.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,9.127.216,9.127.216,-,,9127216.0,9127216.0,
,,,01/01/2021,Số phải thu trong năm,Số đã thu trong năm,31/12/2021,,,,
Phải thu,Phải thu,Phải thu,8.726.100,-,-,8.726.100,8726100.0,,,8726100.0
"Phí, phí lệ phí và các khoản phải nộp khác","Phí, phí lệ phí và các khoản phải nộp khác","Phí, phí lệ phí và các khoản phải nộp khác",8.726.100,-,-,8.726.100,8726100.0,,,8726100.0
