row_label_raw,row_label_full,col_0,Số tiền nợVND,numeric__Số tiền nợVND
Đối tượng,Đối tượng,Đối tượng,Đối tượng,
Công ty CP TIC,Đối tượng > Công ty CP TIC,Công ty CP TIC,30.853.699.510,30853699510.0
Các đối tượng khác,Đối tượng > Các đối tượng khác,Các đối tượng khác,3.255.435.822,3255435822.0
Tổng,Đối tượng > Tổng,Tổng,34.109.135.332,34109135332.0
