row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,numeric__Mối quan hệ,numeric__Tính chất,numeric__31/12/2021VND,numeric__01/01/2021VND
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,364.178.845.621,286.658.146.072,,,364178845621.0,286658146072.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,Phải thu khác ngắn hạn,3.244.942.595,4.920.000,,,3244942595.0,4920000.0
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty con,Phải thu khác ngắn hạn,142.953.648.214,131.911.110.295,,,142953648214.0,131911110295.0
Công ty Cổ phần VETC,Công ty Cổ phần VETC,Công ty Cổ phần VETC,Công ty con,Phải thu khác ngắn hạn,485.484.931,485.484.931,,,485484931.0,485484931.0
Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty con,Phải thu khác ngắn hạn,91.898.299.094,59.326.630.893,,,91898299094.0,59326630893.0
Công ty Cổ phần Bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần Bệnh viện mất Hà Nội cơ sở 2,Công ty Cổ phần Bệnh viện mất Hà Nội cơ sở 2,Công ty con,Phải thu khác ngắn hạn,11.881.166.413,9.847.015.499,,,11881166413.0,9847015499.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty con,Phải thu khác ngắn hạn,3.400.000,3.400.000,,,3400000.0,3400000.0
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,Phải thu khác ngắn hạn,111.324.485.278,78.473.679.476,,,111324485278.0,78473679476.0
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Phải thu khác ngắn hạn,850.471.671,5.664.589.471,,,850471671.0,5664589471.0
Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty liên kết,Phải thu khác ngắn hạn,1.536.947.425,941.315.507,,,1536947425.0,941315507.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải thu khác dài hạn,Các bên liên quan > Phải thu khác dài hạn,Phải thu khác dài hạn,,,255.077.574.094,280.064.272.815,,,255077574094.0,280064272815.0
Công ty TNHH MTV Tasco 6,Các bên liên quan > Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty con,Phải thu khác dài hạn,255.077.574.094,280.064.272.815,,,255077574094.0,280064272815.0
Phải trả người bán,Các bên liên quan > Phải trả người bán,Phải trả người bán,,,74.371.419.342,77.210.888.757,,,74371419342.0,77210888757.0
Tổng công ty Thăng Long - CTCP,Các bên liên quan > Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Phải trả người bán,72.574.745.847,75.754.905.469,,,72574745847.0,75754905469.0
Công ty TNHH MTV Dịch vụ Tasco,Các bên liên quan > Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty con,Phải trả người bán,590.142.746,455.732.539,,,590142746.0,455732539.0
Công ty TNHH một thành viên Tasco 6,Các bên liên quan > Công ty TNHH một thành viên Tasco 6,Công ty TNHH một thành viên Tasco 6,Công ty con,Phải trả người bán,1.206.530.749,1.000.250.749,,,1206530749.0,1000250749.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải trả khác ngắn hạn,Các bên liên quan > Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,7.163.956.974,11.788.240.581,,,7163956974.0,11788240581.0
Công ty TNHH T'Hospital,Các bên liên quan > Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty con,Phải trả khác ngắn hạn,-,8.710.259.590,,,,8710259590.0
Công ty TNHH MTV Tasco Hải Phòng,Các bên liên quan > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,Phải trả khác ngắn hạn,3.234.937.128,3.077.980.991,,,3234937128.0,3077980991.0
Tổng công ty Thăng Long - CTCP,Các bên liên quan > Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Công ty liên kết,Phải trả khác ngắn hạn,3.929.019.846,-,,,3929019846.0,
