row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc,31/12/2021 > Giá trị hợp lý,31/12/2021 > Dự phòng,01/01/2021 > Giá gốc,01/01/2021 > Giá trị hợp lý,01/01/2021 > Dự phòng,numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Giá trị hợp lý,numeric__31/12/2021 > Dự phòng,numeric__01/01/2021 > Giá gốc,numeric__01/01/2021 > Giá trị hợp lý,numeric__01/01/2021 > Dự phòng
Đầu tư Công ty con,Đầu tư Công ty con,Đầu tư Công ty con,2.088.221.316.160,(*),(279.793.000.000),1.562.591.316.160,(*),(17.850.000.000),2088221316160.0,,-279793000000.0,1562591316160.0,,-17850000000.0
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,65.180.000.000,,-,65.180.000.000,,-,65180000000.0,,,65180000000.0,,
Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,299.900.000.000,,-,299.900.000.000,,-,299900000000.0,,,299900000000.0,,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,328.130.000.000,,-,328.130.000.000,,-,328130000000.0,,,328130000000.0,,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,1.000.000.000,,-,1.000.000.000,,-,1000000000.0,,,1000000000.0,,
Công ty CP Tasco Thành Công (i),Công ty CP Tasco Thành Công (i),Công ty CP Tasco Thành Công (i),-,,-,6.120.000.000,,-,,,,6120000000.0,,
Công ty CP VETC(ii),Công ty CP VETC(ii),Công ty CP VETC(ii),604.900.000.000,,(247.300.000.000),247.300.000.000,,-,604900000000.0,,-247300000000.0,247300000000.0,,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,395.600.000.000,,-,395.600.000.000,,-,395600000000.0,,,395600000000.0,,
Công ty TNHH T'Hospital (iii),Công ty TNHH T'Hospital (iii),Công ty TNHH T'Hospital (iii),358.600.000.000,,-,158.600.000.000,,-,358600000000.0,,,158600000000.0,,
Công ty TNHH An Nhiên Foods (i),Công ty TNHH An Nhiên Foods (i),Công ty TNHH An Nhiên Foods (i),-,,-,8.000.000.000,,-,,,,8000000000.0,,
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,2.418.316.160,,-,2.418.316.160,,-,2418316160.0,,,2418316160.0,,
Công ty CP Bệnh viện mắt Hà Nội cơ sở 2 (iv),Công ty CP Bệnh viện mắt Hà Nội cơ sở 2 (iv),Công ty CP Bệnh viện mắt Hà Nội cơ sở 2 (iv),-,,-,17.850.000.000,,(17.850.000.000),,,,17850000000.0,,-17850000000.0
Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,32.493.000.000,,(32.493.000.000),32.493.000.000,,-,32493000000.0,,-32493000000.0,32493000000.0,,
