row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộp/bù trừ trong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộp/bù trừ trong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.305.353.684,1.305.353.684,-,-,1305353684.0,1305353684.0,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,143.847.491,-,-,143.847.491,143847491.0,,,143847491.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.935.372,-,4.913.275,8.848.647,3935372.0,,4913275.0,8848647.0
Các khoản thuế khác,a. Các khoản phải thu > Các khoản thuế khác,Các khoản thuế khác,601.921.469,4.499.811.135,4.032.889.666,135.000.000,601921469.0,4499811135.0,4032889666.0,135000000.0
,,,2.055.058.016,5.805.164.819,4.037.802.941,287.696.138,2055058016.0,5805164819.0,4037802941.0,287696138.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,186.353.744.079,951.939.378.789,1.000.079.565.227,138.213.557.641,186353744079.0,951939378789.0,1000079565227.0,138213557641.0
Thuế thu nhập doanh nghiệp (*),b. Các khoản phải trả > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),78.536.308.306,351.814.399.520,329.771.300.000,100.579.407.826,78536308306.0,351814399520.0,329771300000.0,100579407826.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,7.996.255.302,159.491.661.126,151.967.533.477,15.520.382.951,7996255302.0,159491661126.0,151967533477.0,15520382951.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.707.313.686,47.487.638.395,45.405.158.740,9.789.793.341,7707313686.0,47487638395.0,45405158740.0,9789793341.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,6.197.325.966,6.197.325.966,-,,6197325966.0,6197325966.0,
Phí bảo vệ môi trường,b. Các khoản phải trả > Phí bảo vệ môi trường,Phí bảo vệ môi trường,-,14.462.223.300,14.462.223.300,-,,14462223300.0,14462223300.0,
"Các khoản thuế, phí khác","b. Các khoản phải trả > Các khoản thuế, phí khác","Các khoản thuế, phí khác",20.030.649.527,145.445.715.020,136.451.696.219,29.024.668.328,20030649527.0,145445715020.0,136451696219.0,29024668328.0
,,,300.624.270.900,1.676.838.342.116,1.684.334.802.929,293.127.810.087,300624270900.0,1676838342116.0,1684334802929.0,293127810087.0
