row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,MIL SỐ,Thuyết minh,SỐ CỦI N<|box_end|><|ref_start|>m,Đơn vị: VNDSỐ DÀU N<|box_end|><|ref_start|>m(Trình bày lại),numeric__NGUỒN VỐN_1,numeric__MIL SỐ,numeric__Thuyết minh,numeric__SỐ CỦI N<|box_end|><|ref_start|>m,numeric__Đơn vị: VNDSỐ DÀU N<|box_end|><|ref_start|>m(Trình bày lại)
C.,C.,C.,NỘ PHÁI TRẢ,300,,22.783.553.220.099,26.188.243.086.098,,300.0,,22783553220099.0,26188243086098.0
I.,I.,I.,Nợ ngắn hạn,310,,16.479.836.233.321,17.065.550.728.200,,310.0,,16479836233321.0,17065550728200.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,4.649.173.698.344,4.201.193.054.712,,311.0,17.0,4649173698344.0,4201193054712.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,22.183.434.489,20.791.330.544,,312.0,,22183434489.0,20791330544.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,293.127.810.087,300.624.270.900,,313.0,18.0,293127810087.0,300624270900.0
4.,4.,4.,Phải trả người lao động,314,,218.642.140.172,175.278.868.740,,314.0,,218642140172.0,175278868740.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,1.090.647.961.516,1.607.901.916.653,,315.0,19.0,1090647961516.0,1607901916653.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.005.508.387,1.255.138.330,,318.0,,1005508387.0,1255138330.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,1.980.644.729.308,1.327.867.877.294,,319.0,20.0,1980644729308.0,1327867877294.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,7.018.700.714.605,9.157.536.870.815,,320.0,21.0,7018700714605.0,9157536870815.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,23,1.175.972.431.723,148.406.550.954,,321.0,23.0,1175972431723.0,148406550954.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,29.737.804.690,124.694.849.258,,322.0,,29737804690.0,124694849258.0
II.,II.,II.,Nợ dài hạn,330,,6.303.716.986.778,9.122.692.357.898,,330.0,,6303716986778.0,9122692357898.0
1.,1.,1.,Phải trả dài hạn khác,337,20,857.644.907,971.515.195,,337.0,20.0,857644907.0,971515195.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,5.391.220.150.825,8.394.084.458.923,,338.0,21.0,5391220150825.0,8394084458923.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,23,790.061.652.540,595.987.979.917,,342.0,23.0,790061652540.0,595987979917.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,24,121.577.538.506,131.648.403.863,,343.0,24.0,121577538506.0,131648403863.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,31.266.593.379.474,29.534.382.423.010,,400.0,,31266593379474.0,29534382423010.0
I.,I.,I.,Vốn chủ sở hữu,410,25,31.266.593.379.474,29.534.382.423.010,,410.0,25.0,31266593379474.0,29534382423010.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
,,,- Cố phiếu phố thông có quyền biểu quyết,411a,,23.418.716.000.000,23.418.716.000.000,,,,23418716000000.0,23418716000000.0
2.,2.,2.,Thặng dư vốn cố phần,412,,(274.807.025),(274.807.025),,412.0,,-274807025.0,-274807025.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,225.662.145.738,227.887.397.807,,414.0,,225662145738.0,227887397807.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,416,,(191.305.728.000),(191.305.728.000),,416.0,,-191305728000.0,-191305728000.0
5.,5.,5.,Quỹ đầu tư phát triển,418,,782.216.585.311,780.958.252.480,,418.0,,782216585311.0,780958252480.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,4.302.230.689.261,2.672.959.872.100,,421.0,,4302230689261.0,2672959872100.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,1.937.215.795.820,808.666.342.566,,,,1937215795820.0,808666342566.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,2.365.014.893.441,1.864.293.529.534,,,,2365014893441.0,1864293529534.0
7.,7.,7.,Lợi ích của cố động không kiểm soát TỔNG CÔNG NGUỒN VỐN (440=300+400),429,,2.729.348.494.189,2.625.441.435.648,,429.0,,2729348494189.0,2625441435648.0
,,,,440,,54.050.146.599.573,55.722.625.509.108,,440.0,,54050146599573.0,55722625509108.0
