row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,,
Phải thu Tập đoàn Dầu khí Việt Nam (i),a. Ngân hạn > Phải thu Tập đoàn Dầu khí Việt Nam (i),Phải thu Tập đoàn Dầu khí Việt Nam (i),218.489.976.676,218.489.976.676,218489976676.0,218489976676.0
Phải thu Ban quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),a. Ngân hạn > Phải thu Ban quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),Phải thu Ban quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),20.217.829.253,20.217.829.253,20217829253.0,20217829253.0
Lãi tiền gửi ngân hàng dự thu,a. Ngân hạn > Lãi tiền gửi ngân hàng dự thu,Lãi tiền gửi ngân hàng dự thu,24.643.008.855,15.831.338.020,24643008855.0,15831338020.0
Phải thu ngắn hạn khác,a. Ngân hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,59.773.813.814,67.071.127.944,59773813814.0,67071127944.0
,,,323.124.628.598,321.610.271.893,323124628598.0,321610271893.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác ngắn hạn các bên liên quan(Chỉ tiết tại Thuyết minh số 40),Trong đó: > Phải thu khác ngắn hạn các bên liên quan(Chỉ tiết tại Thuyết minh số 40),Phải thu khác ngắn hạn các bên liên quan(Chỉ tiết tại Thuyết minh số 40),244.456.770.048,241.404.961.831,244456770048.0,241404961831.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Ký cược, ký quỹ dài hạn","b. Dài hạn > Ký cược, ký quỹ dài hạn","Ký cược, ký quỹ dài hạn",1.993.853.825,1.753.853.825,1993853825.0,1753853825.0
,,,1.993.853.825,1.753.853.825,1993853825.0,1753853825.0
