row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
Chi phí tiền khí (i),Chi phí tiền khí (i),Chi phí tiền khí (i),837.891.075.893,1.271.905.524.357,837891075893.0,1271905524357.0
Chi phí lãi vay (ii),Chi phí lãi vay (ii),Chi phí lãi vay (ii),96.766.113.628,180.622.674.559,96766113628.0,180622674559.0
"Chi phí bảo trì, sửa chữa (iii)","Chi phí bảo trì, sửa chữa (iii)","Chi phí bảo trì, sửa chữa (iii)",78.680.387.071,101.132.817.561,78680387071.0,101132817561.0
Chi phí sử dụng nhân hiệu của Tập đoàn Dầu khí Việt Nam,Chi phí sử dụng nhân hiệu của Tập đoàn Dầu khí Việt Nam,Chi phí sử dụng nhân hiệu của Tập đoàn Dầu khí Việt Nam,21.973.752.676,-,21973752676.0,
Chi phí bảo vệ môi trường với nước thải công nghiệp và phí dịch vụ môi trường rừng,Chi phí bảo vệ môi trường với nước thải công nghiệp và phí dịch vụ môi trường rừng,Chi phí bảo vệ môi trường với nước thải công nghiệp và phí dịch vụ môi trường rừng,20.576.627.223,1.609.840.150,20576627223.0,1609840150.0
"Thuế, phí cho các khoản vay","Thuế, phí cho các khoản vay","Thuế, phí cho các khoản vay",3.666.181.770,14.173.914.211,3666181770.0,14173914211.0
"Tiền điện, nước vận hành nhà máy","Tiền điện, nước vận hành nhà máy","Tiền điện, nước vận hành nhà máy",5.598.625.155,5.670.873.967,5598625155.0,5670873967.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,25.495.198.100,32.786.271.848,25495198100.0,32786271848.0
,,,1.090.647.961.516,1.607.901.916.653,1090647961516.0,1607901916653.0
