row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2019(Trước điều chỉnh),Điều chỉnh hồi tố,Năm 2019(Sau điều chỉnh),numeric__Mã số,numeric__Năm 2019(Trước điều chỉnh),numeric__Điều chỉnh hồi tố,numeric__Năm 2019(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,35.374.268.090.529,1.701.080.654,35.375.969.171.183,1.0,35374268090529.0,1701080654.0,35375969171183.0
2. Giá vốn hàng bán,2. Giá vốn hàng bán,2. Giá vốn hàng bán,11,30.236.634.203.496,(3.261.500.882),30.233.372.702.614,11.0,30236634203496.0,-3261500882.0,30233372702614.0
3. Chỉ phí quản lý doanh nghiệp,3. Chỉ phí quản lý doanh nghiệp,3. Chỉ phí quản lý doanh nghiệp,26,1.176.430.753.504,(7.093.652.057),1.169.337.101.447,26.0,1176430753504.0,-7093652057.0,1169337101447.0
4. Thu nhập khác,4. Thu nhập khác,4. Thu nhập khác,31,68.255.684.564,15.168.827.497,83.424.512.061,31.0,68255684564.0,15168827497.0,83424512061.0
5. Chỉ phí khác,5. Chỉ phí khác,5. Chỉ phí khác,32,19.279.357.902,(764.905.445),18.514.452.457,32.0,19279357902.0,-764905445.0,18514452457.0
6. Tổng lợi nhuận kế toán trước thuế,6. Tổng lợi nhuận kế toán trước thuế,6. Tổng lợi nhuận kế toán trước thuế,50,3.165.037.776.642,27.989.966.535,3.193.027.743.177,50.0,3165037776642.0,27989966535.0,3193027743177.0
7. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,7. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,7. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,314.086.018.090,2.921.854.730,317.007.872.820,51.0,314086018090.0,2921854730.0,317007872820.0
8. Lợi nhuận sau thuế của cố động Công ty mẹ,8. Lợi nhuận sau thuế của cố động Công ty mẹ,8. Lợi nhuận sau thuế của cố động Công ty mẹ,61,2.509.695.587.374,22.265.318.522,2.531.960.905.896,61.0,2509695587374.0,22265318522.0,2531960905896.0
9. Lợi nhuận sau thuế của cố động không kiểm soát,9. Lợi nhuận sau thuế của cố động không kiểm soát,9. Lợi nhuận sau thuế của cố động không kiểm soát,62,345.193.216.349,2.802.793.283,347.996.009.632,62.0,345193216349.0,2802793283.0,347996009632.0
