row_label_raw,row_label_full,Lợi nhuận trong năm phân bố cho các cổ đông sở hữu cổ phiếu phố thông (VND) (i) > Trừ: Số tiền trích Quỹ khen thưởng phúc lợi (ii),Năm nay > 2.365.014.893.441 > (25.947.735.335),Năm trước(Trình bày lại) > 2.531.960.905.896 > (126.099.983.917),numeric__Năm nay > 2.365.014.893.441 > (25.947.735.335),numeric__Năm trước(Trình bày lại) > 2.531.960.905.896 > (126.099.983.917)
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),2.339.067.158.106,2.405.860.921.979,2339067158106.0,2405860921979.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),2.341.871.600,2.341.871.600,2341871600.0,2341871600.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),999,1.027,999.0,1027.0
