row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm(Trình bày lại) > Giá trị,Số đầu năm(Trình bày lại) > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm(Trình bày lại) > Giá trị,numeric__Số đầu năm(Trình bày lại) > Số có khả năngtrả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,1.238.966.550.289,1.238.966.550.289,1.038.892.327.997,1.038.892.327.997,1238966550289.0,1238966550289.0,1038892327997.0,1038892327997.0
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,175.447.547.709,175.447.547.709,190.954.869.801,190.954.869.801,175447547709.0,175447547709.0,190954869801.0,190954869801.0
Công ty General Electric Global Parts and Product GMBH,Công ty General Electric Global Parts and Product GMBH,Công ty General Electric Global Parts and Product GMBH,174.909.903.158,174.909.903.158,176.523.564.151,176.523.564.151,174909903158.0,174909903158.0,176523564151.0,176523564151.0
Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,170.495.868.468,170.495.868.468,-,-,170495868468.0,170495868468.0,,
Tổng Công ty Xây dựng và Phát triển Hạ tầng,Tổng Công ty Xây dựng và Phát triển Hạ tầng,Tổng Công ty Xây dựng và Phát triển Hạ tầng,93.264.047.294,93.264.047.294,98.070.776.390,98.070.776.390,93264047294.0,93264047294.0,98070776390.0,98070776390.0
Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt,73.067.463.702,73.067.463.702,-,-,73067463702.0,73067463702.0,,
Công ty Siemens Aktiengesellschaft (i),Công ty Siemens Aktiengesellschaft (i),Công ty Siemens Aktiengesellschaft (i),60.220.845.325,60.220.845.325,4.965.879.145,4.965.879.145,60220845325.0,60220845325.0,4965879145.0,4965879145.0
Tổng Công ty Sông Đà,Tổng Công ty Sông Đà,Tổng Công ty Sông Đà,46.367.015.302,46.367.015.302,46.480.885.494,46.480.885.494,46367015302.0,46367015302.0,46480885494.0,46480885494.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,36.034.408.210,36.034.408.210,33.373.032.590,33.373.032.590,36034408210.0,36034408210.0,33373032590.0,33373032590.0
Tổng Công ty Lắp máy Việt Nam,Tổng Công ty Lắp máy Việt Nam,Tổng Công ty Lắp máy Việt Nam,20.026.382.739,20.026.382.739,20.026.382.739,20.026.382.739,20026382739.0,20026382739.0,20026382739.0,20026382739.0
Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),389.133.068.382,389.133.068.382,468.496.937.687,468.496.937.687,389133068382.0,389133068382.0,468496937687.0,468496937687.0
Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),3.410.207.148.055,3.410.207.148.055,3.162.300.726.715,3.162.300.726.715,3410207148055.0,3410207148055.0,3162300726715.0,3162300726715.0
Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),Các nhà cung cấp khác b. Phải trả người bán là các bên liên quan (chỉ tiết tại Thuyết minh số 40),4.649.173.698.344,4.649.173.698.344,4.201.193.054.712,4.201.193.054.712,4649173698344.0,4649173698344.0,4201193054712.0,4201193054712.0
