row_label_raw,row_label_full,CHỈ TIỀU,MÃ số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__MÃ số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu",31,125.130.000.000,2.085.950.000,31.0,125130000000.0,2085950000.0
2. Tiền thu từ đi vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,14.184.792.268.744,12.946.811.016.850,33.0,14184792268744.0,12946811016850.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(19.356.058.770.319),(15.200.725.040.838),34.0,-19356058770319.0,-15200725040838.0
"4. Có tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Có tức, lợi nhuận đã trả cho chủ sở hữu","4. Có tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.025.180.355.668),(750.693.717.584),36.0,-1025180355668.0,-750693717584.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(6.071.316.857.243),(3.002.521.791.572),40.0,-6071316857243.0,-3002521791572.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.986.418.858.467,1.897.949.368.974,50.0,1986418858467.0,1897949368974.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,5.083.277.330.894,3.185.329.931.901,60.0,5083277330894.0,3185329931901.0
Ảnh hưởng của thay đối tỷ giá hối đoái quy đối ngoại tệ,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đối tỷ giá hối đoái quy đối ngoại tệ,Ảnh hưởng của thay đối tỷ giá hối đoái quy đối ngoại tệ,61,4.115.751,(1.969.981),61.0,4115751.0,-1969981.0
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,7.069.700.305.112,5.083.277.330.894,70.0,7069700305112.0,5083277330894.0
