row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cố phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cố động không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cố phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cố động không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tại ngày 01 tháng 01 năm 2019,Tại ngày 01 tháng 01 năm 2019,Tại ngày 01 tháng 01 năm 2019,23.418.716.000.000,(311.254.328),227.887.397.807,(191.305.728.000),192.215.107.853,859.274.196.129,2.308.909.236.304,26.815.384.955.765,23418716000000.0,-311254328.0,227887397807.0,-191305728000.0,192215107853.0,859274196129.0,2308909236304.0,26815384955765.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.531.960.905.896,347.996.009.632,2.879.956.915.528,,,,,,2531960905896.0,347996009632.0,2879956915528.0
"Chốt quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2018","Chốt quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2018","Chốt quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2018",-,-,-,-,-,(23.438.512.023),(13.008.563.265),(36.447.075.288),,,,,,-23438512023.0,-13008563265.0,-36447075288.0
"Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2019","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2019","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý 2019",-,-,-,-,-,(103.368.337.102),-,(103.368.337.102),,,,,,-103368337102.0,,-103368337102.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,588.792.553.702,(588.792.553.702),-,-,,,,,588792553702.0,-588792553702.0,,
Chia có tức,Chia có tức,Chia có tức,-,-,-,-,-,,(13.557.633.542),(13.557.633.542),,,,,,,-13557633542.0,-13557633542.0
Thay đối do thời vốn từ Công ty con,Thay đối do thời vốn từ Công ty con,Thay đối do thời vốn từ Công ty con,-,36.447.479,-,-,(49.852.251),13.404.773,(4.492.303.006),(4.492.303.005),,36447479.0,,,-49852251.0,13404773.0,-4492303006.0,-4492303005.0
Tăng do đầu tư thêm vốn vào Công ty con,Tăng do đầu tư thêm vốn vào Công ty con,Tăng do đầu tư thêm vốn vào Công ty con,-,-,-,-,-,1.136.102.021,(1.136.102.021),-,,,,,,1136102021.0,-1136102021.0,
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,(176),-,-,443.176,(3.825.333.892),730.791.546,(3.094.099.346),,-176.0,,,443176.0,-3825333892.0,730791546.0,-3094099346.0
Tại ngày 31 tháng 12 năm 2019 (Trình bày lại),Tại ngày 31 tháng 12 năm 2019 (Trình bày lại),Tại ngày 31 tháng 12 năm 2019 (Trình bày lại),23.418.716.000.000,(274.807.025),227.887.397.807,(191.305.728.000),780.958.252.480,2.672.959.872.100,2.625.441.435.648,29.534.382.423.010,23418716000000.0,-274807025.0,227887397807.0,-191305728000.0,780958252480.0,2672959872100.0,2625441435648.0,29534382423010.0
Lợi nhuận trong năm (*),Lợi nhuận trong năm (*),Lợi nhuận trong năm (*),-,-,-,-,-,2.365.014.893.441,297.651.191.083,2.662.666.084.524,,,,,,2365014893441.0,297651191083.0,2662666084524.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.669.806.970,(1.669.806.970),-,-,,,,,1669806970.0,-1669806970.0,,
"Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý",-,-,-,-,,(22.731.646.815),(14.598.451.873),(37.330.098.688),,,,,,-22731646815.0,-14598451873.0,-37330098688.0
