row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvấn phòng,Tài sản cố định hữubình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvấn phòng,numeric__Tài sản cố định hữubình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm(Trình bày lại),NGUYÊN GIÁ > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),18.175.248.026.949,48.714.970.636.461,315.870.232.472,171.751.766.492,2.130.003.604.641,69.507.844.267.015,18175248026949.0,48714970636461.0,315870232472.0,171751766492.0,2130003604641.0,69507844267015.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.270.400.491,8.483.996.134,16.431.497.748,13.672.103.724,1.159.624.329,42.017.622.426,2270400491.0,8483996134.0,16431497748.0,13672103724.0,1159624329.0,42017622426.0
Đầu tư xây dựng cơbản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,51.053.530.212,11.207.008.302,-,-,4.062.800.699,66.323.339.213,51053530212.0,11207008302.0,,,4062800699.0,66323339213.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(88.151.000),(7.533.984.039),(2.155.075.064),-,(9.777.210.103),,-88151000.0,-7533984039.0,-2155075064.0,,-9777210103.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(99.634.796),100.505.308,-,(870.512),-,-,-99634796.0,100505308.0,,-870512.0,,
(Giám) khác,NGUYÊN GIÁ > (Giám) khác,(Giám) khác,(8.055.147.048),-,-,-,-,(8.055.147.048),-8055147048.0,,,,,-8055147048.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,18.220.417.175.808,48.734.673.995.205,324.767.746.181,183.267.924.640,2.135.226.029.669,69.598.352.871.503,18220417175808.0,48734673995205.0,324767746181.0,183267924640.0,2135226029669.0,69598352871503.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm(Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),5.399.044.339.279,26.134.602.659.798,247.864.336.331,117.691.632.049,354.821.431.704,32.254.024.399.161,5399044339279.0,26134602659798.0,247864336331.0,117691632049.0,354821431704.0,32254024399161.0
