row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,,
Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,a. Ngân hạn > Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,23.366.343.768,9.038.057.187,23366343768.0,9038057187.0
Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,a. Ngân hạn > Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,15.218.028.592,7.825.428.041,15218028592.0,7825428041.0
Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,a. Ngân hạn > Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,7.486.620.597,9.452.020.932,7486620597.0,9452020932.0
Chi phí trả trước ngắn hạn khác,a. Ngân hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,4.874.337.989,4.526.518.921,4874337989.0,4526518921.0
,,,50.945.330.946,30.842.025.081,50945330946.0,30842025081.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố (i),b. Dài hạn > Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố (i),Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố (i),176.458.277.759,-,176458277759.0,
"Phí huy động, phí biến đổi và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (ii)","b. Dài hạn > Phí huy động, phí biến đổi và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (ii)","Phí huy động, phí biến đổi và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (ii)",84.957.009.590,114.477.558.023,84957009590.0,114477558023.0
Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1,b. Dài hạn > Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1,Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1,76.227.084.579,-,76227084579.0,
Chi phí sửa chữa tài sản khác,b. Dài hạn > Chi phí sửa chữa tài sản khác,Chi phí sửa chữa tài sản khác,59.806.954.132,71.186.806.747,59806954132.0,71186806747.0
Tiền thuê đất,b. Dài hạn > Tiền thuê đất,Tiền thuê đất,43.157.422.727,65.212.773.116,43157422727.0,65212773116.0
Lợi thế kinh doanh,b. Dài hạn > Lợi thế kinh doanh,Lợi thế kinh doanh,28.542.933.921,28.542.933.921,28542933921.0,28542933921.0
Phí bảo hiểm khoản vay tín dụng (iii),b. Dài hạn > Phí bảo hiểm khoản vay tín dụng (iii),Phí bảo hiểm khoản vay tín dụng (iii),26.637.025.907,91.200.943.015,26637025907.0,91200943015.0
Chi phí thuê văn phòng,b. Dài hạn > Chi phí thuê văn phòng,Chi phí thuê văn phòng,25.499.880.720,27.479.101.674,25499880720.0,27479101674.0
Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,b. Dài hạn > Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,18.790.829.448,-,18790829448.0,
Chi phí đại tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố,b. Dài hạn > Chi phí đại tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố,Chi phí đại tu Nhà máy Điện Nhơn Trạch 2 chờ phân bố,-,36.738.443.719,,36738443719.0
Chi phí sửa chữa bảo dưỡng hợp đồng O&M,b. Dài hạn > Chi phí sửa chữa bảo dưỡng hợp đồng O&M,Chi phí sửa chữa bảo dưỡng hợp đồng O&M,-,13.173.284.964,,13173284964.0
Chi phí trả trước dài hạn khác,b. Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,24.633.623.718,21.097.877.027,24633623718.0,21097877027.0
,,,564.711.042.501,469.109.722.206,564711042501.0,469109722206.0
