row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Lãi suất,Số cuối năm > Kỳ hạnVND,Số đầu năm > Giá trịVND,Số đầu năm > Lãi suất,Số đầu năm > Kỳ hạnVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Lãi suất,numeric__Số cuối năm > Kỳ hạnVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Lãi suất,numeric__Số đầu năm > Kỳ hạnVND
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,,,,,,
Công ty Cổ phần Chứng khoán Kỹ thương (i),Trái phiếu phát hành > Công ty Cổ phần Chứng khoán Kỹ thương (i),Công ty Cổ phần Chứng khoán Kỹ thương (i),197.555.555.554,"9,06%-9,96%",3 năm,196.222.222.222,"9,06%-9,96%",3 năm,197555555554.0,,,196222222222.0,,
Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đạichủng Việt Nam (ii),Trái phiếu phát hành > Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đạichủng Việt Nam (ii),Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đạichủng Việt Nam (ii),78.755.555.552,10 00%,3 năm,-,-,-,78755555552.0,,,,,
Ông Lê Xuân Học (ii),Trái phiếu phát hành > Ông Lê Xuân Học (ii),Ông Lê Xuân Học (ii),83.677.777.776,"10,00%",3 năm,-,-,-,83677777776.0,0.1,,,,
Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),Trái phiếu phát hành > Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),14.766.666.664,"10,00%",3 năm,-,-,-,14766666664.0,0.1,,,,
Công ty Cổ phần Quản lý Quỹ đầu tư MB (iii),Trái phiếu phát hành > Công ty Cổ phần Quản lý Quỹ đầu tư MB (iii),Công ty Cổ phần Quản lý Quỹ đầu tư MB (iii),58.866.666.666,"10,00%",3 năm,-,-,-,58866666666.0,0.1,,,,
,,,433.622.222.212,,,196.222.222.222,,,433622222212.0,,,196222222222.0,,
