row_label_raw,row_label_full,CHÍ TIÊU,CHÍ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị: VND Năm trước (Trình bày lại),numeric__CHÍ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,28,29.731.733.707.513,35.375.969.171.183,,1.0,28.0,29731733707513.0,35375969171183.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,28,,,,2.0,28.0,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,28,29.731.733.707.513,35.375.969.171.183,,10.0,28.0,29731733707513.0,35375969171183.0
4.,4.,4.,Giá vốn hàng bán và cung cấp dịch vụ,11,29,25.151.638.635.576,30.233.372.702.614,,11.0,29.0,25151638635576.0,30233372702614.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,4.580.095.071.937,5.142.596.468.569,,20.0,,4580095071937.0,5142596468569.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,31,439.870.134.267,453.447.173.083,,21.0,31.0,439870134267.0,453447173083.0
7.,7.,7.,Chi phí tài chính,22,32,999.377.552.484,1.323.606.244.635,,22.0,32.0,999377552484.0,1323606244635.0
,,,- Trong đó: Chi phí lãi vay,23,,809.234.511.179,1.154.051.870.401,,23.0,,809234511179.0,1154051870401.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,,44.123.893.428,52.036.013.536,,24.0,,44123893428.0,52036013536.0
9.,9.,9.,Chi phí bán hàng,25,33,35.159.174.296,27.018.625.533,,25.0,33.0,35159174296.0,27018625533.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,33,1.174.311.774.374,1.169.337.101.447,,26.0,33.0,1174311774374.0,1169337101447.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,2.855.240.598.478,3.128.117.683.573,,30.0,,2855240598478.0,3128117683573.0
12.,12.,12.,Thu nhập khác,31,34,30.384.633.273,83.424.512.061,,31.0,34.0,30384633273.0,83424512061.0
13.,13.,13.,Chi phí khác,32,35,10.527.797.258,18.514.452.457,,32.0,35.0,10527797258.0,18514452457.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,19.856.836.015,64.910.059.604,,40.0,,19856836015.0,64910059604.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,2.875.097.434.493,3.193.027.743.177,,50.0,,2875097434493.0,3193027743177.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,344.116.937.614,317.007.872.820,,51.0,36.0,344116937614.0,317007872820.0
17.,17.,17.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,36,(131.685.587.645),(3.937.045.171),,52.0,36.0,-131685587645.0,-3937045171.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.662.666.084.524,2.879.956.915.528,,60.0,,2662666084524.0,2879956915528.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,2.365.014.893.441,2.531.960.905.896,,61.0,,2365014893441.0,2531960905896.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,297.651.191.083,347.996.009.632,,62.0,,297651191083.0,347996009632.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,37,,1.027,,70.0,37.0,,1027.0
