row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,16.897.192.989.427,16.088.854.143.112,,100.0,,16897192989427.0,16088854143112.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,7.069.700.305.112,5.083.277.330.894,,110.0,4.0,7069700305112.0,5083277330894.0
1.,1.,1.,Tiền,111,,927.095.604.180,170.377.330.894,,111.0,,927095604180.0,170377330894.0
2.,2.,2.,Các khoản tương đương tiền,112,,6.142.604.700.932,4.912.900.000.000,,112.0,,6142604700932.0,4912900000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,788.595.201.755,657.920.790.416,,120.0,5.0,788595201755.0,657920790416.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,788.595.201.755,657.920.790.416,,123.0,,788595201755.0,657920790416.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.195.677.600.318,8.728.590.423.721,,130.0,,7195677600318.0,8728590423721.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,7.776.376.709.973,8.940.151.246.840,,131.0,6.0,7776376709973.0,8940151246840.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,97.118.304.273,119.902.673.789,,132.0,7.0,97118304273.0,119902673789.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,323.124.628.598,321.610.271.893,,136.0,8.0,323124628598.0,321610271893.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(1.000.942.042.526),(653.073.768.801),,137.0,9.0,-1000942042526.0,-653073768801.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.727.999.115.630,1.425.115.236.169,,140.0,10.0,1727999115630.0,1425115236169.0
1.,1.,1.,Hàng tồn kho,141,,1.736.252.781.133,1.431.480.690.315,,141.0,,1736252781133.0,1431480690315.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(8.253.665.503),(6.365.454.146),,149.0,,-8253665503.0,-6365454146.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,115.220.766.612,193.950.361.912,,150.0,,115220766612.0,193950361912.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,50.945.330.946,30.842.025.081,,151.0,11.0,50945330946.0,30842025081.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,63.987.739.528,161.053.278.815,,152.0,,63987739528.0,161053278815.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,18,287.696.138,2.055.058.016,,153.0,18.0,287696138.0,2055058016.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,37.152.953.610.146,39.633.771.365.996,,200.0,,37152953610146.0,39633771365996.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,3.262.294.619,3.022.294.619,,210.0,,3262294619.0,3022294619.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,1.268.440.794,1.268.440.794,,211.0,,1268440794.0,1268440794.0
2.,2.,2.,Phải thu dài hạn khác,216,8,1.993.853.825,1.753.853.825,,216.0,8.0,1993853825.0,1753853825.0
