row_label_raw,row_label_full,Chỉ tiêu,Mã số,31/12/2019(Trước điều chỉnh),Điều chỉnh hồi tố,31/12/2019(Sau điều chỉnh),numeric__Mã số,numeric__31/12/2019(Trước điều chỉnh),numeric__Điều chỉnh hồi tố,numeric__31/12/2019(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
1. Phải thu ngắn hạn của khách hàng,TÀI SẢN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,8.938.119.337.561,2.031.909.279,8.940.151.246.840,131.0,8938119337561.0,2031909279.0,8940151246840.0
2. Trả trước cho người bán ngắn hạn,TÀI SẢN > 2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,120.471.089.910,(568.416.121),119.902.673.789,132.0,120471089910.0,-568416121.0,119902673789.0
3. Phải thu ngắn hạn khác,TÀI SẢN > 3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,312.915.441.439,8.694.830.454,321.610.271.893,136.0,312915441439.0,8694830454.0,321610271893.0
4. Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > 4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,(657.484.490.937),4.410.722.136,(653.073.768.801),137.0,-657484490937.0,4410722136.0,-653073768801.0
5. Hàng tồn kho,TÀI SẢN > 5. Hàng tồn kho,5. Hàng tồn kho,141,1.434.323.555.929,(2.842.865.614),1.431.480.690.315,141.0,1434323555929.0,-2842865614.0,1431480690315.0
6. Dự phòng giảm giá hàng tồn kho,TÀI SẢN > 6. Dự phòng giảm giá hàng tồn kho,6. Dự phòng giảm giá hàng tồn kho,149,(6.732.235.493),366.781.347,(6.365.454.146),149.0,-6732235493.0,366781347.0,-6365454146.0
7. Chi phí trả trước ngắn hạn,TÀI SẢN > 7. Chi phí trả trước ngắn hạn,7. Chi phí trả trước ngắn hạn,151,29.273.621.756,1.568.403.325,30.842.025.081,151.0,29273621756.0,1568403325.0,30842025081.0
8. Tài sản cố định hữu hình,TÀI SẢN > 8. Tài sản cố định hữu hình,8. Tài sản cố định hữu hình,221,37.249.074.787.530,4.745.080.324,37.253.819.867.854,221.0,37249074787530.0,4745080324.0,37253819867854.0
- Nguyễn gió,TÀI SẢN > - Nguyễn gió,- Nguyễn gió,222,69.502.840.902.510,5.003.364.505,69.507.844.267.015,222.0,69502840902510.0,5003364505.0,69507844267015.0
- Giá trị hoo mòn lũy kế,TÀI SẢN > - Giá trị hoo mòn lũy kế,- Giá trị hoo mòn lũy kế,223,(32.253.766.114.980),(258.284.181),(32.254.024.399.161),223.0,-32253766114980.0,-258284181.0,-32254024399161.0
9. Tài sản cố định vô hình,TÀI SẢN > 9. Tài sản cố định vô hình,9. Tài sản cố định vô hình,227,70.494.649.338,430.359.572,70.925.008.910,227.0,70494649338.0,430359572.0,70925008910.0
- Nguyễn gió,TÀI SẢN > - Nguyễn gió,- Nguyễn gió,228,113.123.594.604,1.721.438.290,114.845.032.894,228.0,113123594604.0,1721438290.0,114845032894.0
- Giá trị hoo mòn lũy kế,TÀI SẢN > - Giá trị hoo mòn lũy kế,- Giá trị hoo mòn lũy kế,229,(42.628.945.266),(1.291.078.718),(43.920.023.984),229.0,-42628945266.0,-1291078718.0,-43920023984.0
10. Chi phí xây dựng cơ bản dở dang,TÀI SẢN > 10. Chi phí xây dựng cơ bản dở dang,10. Chi phí xây dựng cơ bản dở dang,242,217.166.328.196,2.925.179.980,220.091.508.176,242.0,217166328196.0,2925179980.0,220091508176.0
11. Dự phòng đầu tư tài chính dài hạn,TÀI SẢN > 11. Dự phòng đầu tư tài chính dài hạn,11. Dự phòng đầu tư tài chính dài hạn,254,(38.625.406.925),3.000.000.000,(35.625.406.925),254.0,-38625406925.0,3000000000.0,-35625406925.0
12. Chi phí trả trước dài hạn,TÀI SẢN > 12. Chi phí trả trước dài hạn,12. Chi phí trả trước dài hạn,261,466.948.731.741,2.160.990.465,469.109.722.206,261.0,466948731741.0,2160990465.0,469109722206.0
NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,NỘ PHẦI TRẢ VÀ NGUỒN VỐN,,,,
1. Phải trả người bán ngắn hạn,NỘ PHẦI TRẢ VÀ NGUỒN VỐN > 1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,4.201.761.470.833,(568.416.121),4.201.193.054.712,311.0,4201761470833.0,-568416121.0,4201193054712.0
2. Thuế và các khoản phải nộp Nhà nước,NỘ PHẦI TRẢ VÀ NGUỒN VỐN > 2. Thuế và các khoản phải nộp Nhà nước,2. Thuế và các khoản phải nộp Nhà nước,313,297.110.517.686,3.513.753.214,300.624.270.900,313.0,297110517686.0,3513753214.0,300624270900.0
3.Chi phí phải trả ngắn hạn,NỘ PHẦI TRẢ VÀ NGUỒN VỐN > 3.Chi phí phải trả ngắn hạn,3.Chi phí phải trả ngắn hạn,315,1.608.992.390.404,(1.090.473.751),1.607.901.916.653,315.0,1608992390404.0,-1090473751.0,1607901916653.0
