row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,11.070.071.709,588.833.379.144,16.442.057.444,616.345.508.297,11070071709.0,588833379144.0,16442057444.0,616345508297.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,,845.454.545,,845.454.545,,845454545.0,,845454545.0
- Thuê tài chính trong năm,I. Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,,845.454.545,,845.454.545,,845454545.0,,845454545.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,
3. Số giảm trong năm,- Tăng khác > 3. Số giảm trong năm,3. Số giảm trong năm,,153.909.744.166,,153.909.744.166,,153909744166.0,,153909744166.0
- Trả lại TSCĐ thuê tài chính,- Tăng khác > - Trả lại TSCĐ thuê tài chính,- Trả lại TSCĐ thuê tài chính,,153.909.744.166,,153.909.744.166,,153909744166.0,,153909744166.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,11.070.071.709,435.769.089.523,16.442.057.444,463.281.218.676,11070071709.0,435769089523.0,16442057444.0,463281218676.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,2.376.858.627,95.740.238.024,3.652.511.754,101.769.608.405,2376858627.0,95740238024.0,3652511754.0,101769608405.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,2.592.936.684,53.385.798.398,2.486.310.216,58.465.045.298,2592936684.0,53385798398.0,2486310216.0,58465045298.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.592.936.684,53.385.798.398,2.486.310.216,58.465.045.298,2592936684.0,53385798398.0,2486310216.0,58465045298.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,
3. Giảm trong năm,- Tăng khác > 3. Giảm trong năm,3. Giảm trong năm,,62.846.478.849,,62.846.478.849,,62846478849.0,,62846478849.0
- Trả lại TSCĐ thuê tài chính,- Tăng khác > - Trả lại TSCĐ thuê tài chính,- Trả lại TSCĐ thuê tài chính,,62.846.478.849,,62.846.478.849,,62846478849.0,,62846478849.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,4.969.795.311,86.279.557.573,6.138.821.970,97.388.174.854,4969795311.0,86279557573.0,6138821970.0,97388174854.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,8.693.213.082,493.093.141.120,12.789.545.690,514.575.899.892,8693213082.0,493093141120.0,12789545690.0,514575899892.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,6.100.276.398,349.489.531.950,10.303.235.474,365.893.043.822,6100276398.0,349489531950.0,10303235474.0,365893043822.0
