row_label_raw,row_label_full,Khoản mục,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối năm
a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,,,,
Nguyên giá,a) BĐS đầu tư cho thuê > Nguyên giá,Nguyên giá,632.691.629.991,1.432.798.591,1.073.232.323,633.051.196.259,632691629991.0,1432798591.0,1073232323.0,633051196259.0
- Quyền sử dụng đất,a) BĐS đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,237.739.245.495,,,237.739.245.495,237739245495.0,,,237739245495.0
- Nhà,a) BĐS đầu tư cho thuê > - Nhà,- Nhà,394.952.384.496,1.432.798.591,1.073.232.323,395.311.950.764,394952384496.0,1432798591.0,1073232323.0,395311950764.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị hao mòn lũy kế,- Cơ sở hạ tầng > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,118.636.373.951,16.400.274.888,,135.036.648.839,118636373951.0,16400274888.0,,135036648839.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,3.135.100.578,392.211.852,,3.527.312.430,3135100578.0,392211852.0,,3527312430.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,115.501.273.373,16.008.063.036,,131.509.336.409,115501273373.0,16008063036.0,,131509336409.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,- Cơ sở hạ tầng > Giá trị còn lại,Giá trị còn lại,514.055.256.040,,,498.014.547.420,514055256040.0,,,498014547420.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,234.604.144.917,,,234.211.933.065,234604144917.0,,,234211933065.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,279.451.111.123,,,263.802.614.355,279451111123.0,,,263802614355.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,b) BĐS đầu tư nấm giữ chờ tăng giá,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Tổn thất do suy giám giá trị,Tổn thất do suy giám giá trị,Tổn thất do suy giám giá trị,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
