row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm nay,Năm 2022,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm 2022
,,,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
31,31,31,"- Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,15.500.000.000,,,,15500000000.0
32,32,32,"- Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,,,
33,32 > 33,33,- Tiền thu từ đi vay,,17.267.448.054.598,13.713.227.519.100,,,17267448054598.0,13713227519100.0
34,32 > 34,34,- Tiền trả nợ gốc vay,,(16.195.280.370.344),(11.948.764.990.072),,,-16195280370344.0,-11948764990072.0
35,32 > 35,35,- Tiền trả nợ gốc thuê tài chính,,(89.959.031.467),(93.538.359.309),,,-89959031467.0,-93538359309.0
36,32 > 36,36,"- Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(32.966.778.849),(637.424.518.120),,,-32966778849.0,-637424518120.0
40,32 > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,949.241.873.938,1.048.999.651.599,,,949241873938.0,1048999651599.0
50,32 > 50,50,Lưu chuyển tiền thuần trong năm,,517.336.276.472,257.394.716.002,,,517336276472.0,257394716002.0
60,32 > 60,60,Tiền và tương đương tiền đầu năm,,847.857.871.091,586.000.201.848,,,847857871091.0,586000201848.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(170.706.816),4.462.953.241,,,-170706816.0,4462953241.0
70,32 > 70,70,Tiền và tương đương tiền cuối năm,,1.365.023.440.747,847.857.871.091,,,1365023440747.0,847857871091.0
