row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Tăng,numeric__Giảm,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),6.156.254.996.825,6.156.254.996.825,12.928.407.322.220,12.598.734.084.846,5.826.581.759.451,5.826.581.759.451,6156254996825.0,6156254996825.0,12928407322220.0,12598734084846.0,5826581759451.0,5826581759451.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,316.758.000.000,316.758.000.000,316.758.000.000,300.828.137.043,300.828.137.043,300.828.137.043,316758000000.0,316758000000.0,316758000000.0,300828137043.0,300828137043.0,300828137043.0
Cộng,Cộng,Cộng,6.473.012.996.825,6.473.012.996.825,13.245.165.322.220,12.899.562.221.889,6.127.409.896.494,6.127.409.896.494,6473012996825.0,6473012996825.0,13245165322220.0,12899562221889.0,6127409896494.0,6127409896494.0
(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,(*) Chi tiết các khoản vay ngắn hạn,Số cuối năm,Số đầu năm,,,,,,
Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,481.248.609.410,499.722.925.316,,,,,481248609410.0,499722925316.0
Ngân hàng Tiên Phong - CN An Giang,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,295.742.033.506,271.603.434.184,,,,,295742033506.0,271603434184.0
Ngân hàng VPBank Tp.HCM,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng VPBank Tp.HCM,Ngân hàng VPBank Tp.HCM,Ngân hàng VPBank Tp.HCM,Ngân hàng VPBank Tp.HCM,Ngân hàng VPBank Tp.HCM,Ngân hàng VPBank Tp.HCM,124.998.474.677,275.812.625.534,,,,,124998474677.0,275812625534.0
Ngân hàng TMCP Á Châu - CN An Giang,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,58.581.069.837,28.742.239.800,,,,,58581069837.0,28742239800.0
Ngân hàng Phát Triển Tp.HCM,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng Phát Triển Tp.HCM,Ngân hàng Phát Triển Tp.HCM,Ngân hàng Phát Triển Tp.HCM,Ngân hàng Phát Triển Tp.HCM,Ngân hàng Phát Triển Tp.HCM,Ngân hàng Phát Triển Tp.HCM,,22.638.307.400,,,,,,22638307400.0
Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,,400.306.306.950,,,,,,400306306950.0
Ngân hàng VCB - Kiên Giang,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,13.907.404.202,15.151.810.950,,,,,13907404202.0,15151810950.0
Ngân hàng Nam Á - Cần Thơ,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng Nam Á - Cần Thơ,Ngân hàng Nam Á - Cần Thơ,Ngân hàng Nam Á - Cần Thơ,Ngân hàng Nam Á - Cần Thơ,Ngân hàng Nam Á - Cần Thơ,Ngân hàng Nam Á - Cần Thơ,,33.043.420.000,,,,,,33043420000.0
Ngân hàng Xăng Dầu - An Giang,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,149.942.243.860,85.379.517.138,,,,,149942243860.0,85379517138.0
Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,128.069.787.500,149.480.113.871,,,,,128069787500.0,149480113871.0
Ngân hàng TMCP Á Châu CN Sa Đéc,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,59.299.600.000,73.446.945.000,,,,,59299600000.0,73446945000.0
Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,(*) Chi tiết các khoản vay ngắn hạn > Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Kiên Giang,1.590.048.375.622,1.483.248.250.282,,,,,1590048375622.0,1483248250282.0
Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,200.769.151.500,200.023.018.500,,,,,200769151500.0,200023018500.0
Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,(*) Chi tiết các khoản vay ngắn hạn > Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,380.020.044.900,352.336.319.400,,,,,380020044900.0,352336319400.0
