row_label_raw,row_label_full,Bên cho vay > FIRST COMMERCIAL BANK - HO CHI MINH CITY BRANCH > Ngân Hàng Woori Bank HaNam Branch > Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Hợp đồng/Khé ước > TRLBTDUS-H30230080 ngày 06/10/2023 > VN123007736/2023-HĐCVHM/WBVN 303 ngày 20/09/2023 > UOB/HCMC/CMB /7392/002 ngày 29/09/2023,Hạn mức/Số tiền vay (VND) > USD > 6.000.000 > 2.000.000,Hạn mức/Số tiền vay (VND) > VND > 100.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 90.776.990.000 > 99.997.998.800 > 48.108.913.600,Thời hạn vay (Tháng) > 12 > 6,Lãi suất(%) > Theo từng khế ước nhận nợ,Mục đích vay > Bổ sung vốn lưu động phục vụ sxkd,Hình thức đảm bảo > Tài sản khác > Tiền gửi,numeric__Hợp đồng/Khé ước > TRLBTDUS-H30230080 ngày 06/10/2023 > VN123007736/2023-HĐCVHM/WBVN 303 ngày 20/09/2023 > UOB/HCMC/CMB /7392/002 ngày 29/09/2023,numeric__Hạn mức/Số tiền vay (VND) > USD > 6.000.000 > 2.000.000,numeric__Hạn mức/Số tiền vay (VND) > VND > 100.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 90.776.990.000 > 99.997.998.800 > 48.108.913.600,numeric__Thời hạn vay (Tháng) > 12 > 6,numeric__Lãi suất(%) > Theo từng khế ước nhận nợ,numeric__Mục đích vay > Bổ sung vốn lưu động phục vụ sxkd,numeric__Hình thức đảm bảo > Tài sản khác > Tiền gửi
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,,,34.850.000.000,12,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Vay của cá nhân,,,,,34850000000.0,12.0,,,
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,SDE.DN.1617.230 523,,73.300.000.000,,59.299.600.000,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Bất động sản,,,73300000000.0,,59299600000.0,6.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,125/2023/HDHM/CIB,,250.000.000.000,,10.656.800.000,5,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Bất động sản và cổ phiếu bên thứ 3,,,250000000000.0,,10656800000.0,5.0,,,
Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,AC8-STVN1140-16,1.000.000,,,25.504.993.943,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Ký quỹ tiền,,1000000.0,,,25504993943.0,6.0,,,
Ngân hàng BPCE,Ngân hàng BPCE,Ngân hàng BPCE,FCA-000601-2024,3.500.000,,,47.079.759.367,5,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Ký quỹ tiền,,3500000.0,,,47079759367.0,5.0,,,
