row_label_raw,row_label_full,Bên cho vay,Hợp đồng/Khé ước,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND,Dư nợ vay > USD,Dư nợ vay > VND,Thời hạn vay (Tháng),Lãi suất(%),Mục đích vay,Hình thức đảm bảo,numeric__Hợp đồng/Khé ước,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND,numeric__Thời hạn vay (Tháng),numeric__Lãi suất(%),numeric__Mục đích vay,numeric__Hình thức đảm bảo
Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,ANG.DN.3862.100 723,,28.750.000.000,,28.581.069.837,12,Theo từng khế ước nhận nợ,Bổ sung vốn lưu động phục vụ sxkd,Tiền gửi và TSCĐ,,,28750000000.0,,28581069837.0,12.0,,,
Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,ANG.DN.2845.251 223,,30.000.000.000,,30.000.000.000,3,Theo từng khế ước nhận nợ,Bổ sung vốn lưu động phục vụ sxkd,Tiền gửi và TSCĐ,,,30000000000.0,,30000000000.0,3.0,,,
CN Ngân Hàng TMCP Đầu Tư Và Phát Tiến - CN Đồng Bằng Sông Cửu Long,CN Ngân Hàng TMCP Đầu Tư Và Phát Tiến - CN Đồng Bằng Sông Cửu Long,CN Ngân Hàng TMCP Đầu Tư Và Phát Tiến - CN Đồng Bằng Sông Cửu Long,01/2023/548997/H ĐTG,,500.000.000.000,,481.248.609.410,12,Theo từng khế ước nhận nợ,Bổ sung vốn lưu động phục vụ sxkd,Tiền gửi và TSCĐ,,,500000000000.0,,481248609410.0,12.0,,,
Ngân hàng TMCP Xăng Dầu - CN An Giang,Ngân hàng TMCP Xăng Dầu - CN An Giang,Ngân hàng TMCP Xăng Dầu - CN An Giang,540.0028/2023/HD TDHM,,150.000.000.000,,149.942.243.860,6,Theo từng khế ước nhận nợ,"Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn",TSCĐ,,,150000000000.0,,149942243860.0,6.0,,,
Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,0059/23/0181/AG,,60.000.000.000,,13.907.404.202,6,Theo từng khế ước nhận nợ,"Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn",TSCĐ,,,60000000000.0,,13907404202.0,6.0,,,
Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,Ngân hàng TMCP Ngoại Thương - CN Kiên Giang,0077/23/HĐK-SAOMAI,,100.000.000.000,,,12,Theo từng khế ước nhận nợ,"Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn",TSCĐ,,,100000000000.0,,,12.0,,,
Ngân hàng TMCP Tiên Phong - CN An Giang,Ngân hàng TMCP Tiên Phong - CN An Giang,Ngân hàng TMCP Tiên Phong - CN An Giang,294/2023/HDTD/AGG,,300.000.000.000,,295.742.033.506,6,Theo từng khế ước nhận nợ,"Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn",TSCĐ + tiền gửi,,,300000000000.0,,295742033506.0,6.0,,,
