row_label_raw,row_label_full,Bên cho vay > Công Ty Cho Thuê Tài Chính TNHH MTV Ngân Hàng TMCP Công Thương Việt Nam - CN TPHCM (VIETTIN LEASING) > Công Ty TNHH Cho Thuê Tài Chính Quốc Tế Việt Nam (VILC),Hợp đồng/Khé ước > 153/2022/CN.MN-CTTC > 2022-00003-000 > 2022-00004-000,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 58.333.460.000 > 58.800.000.012 > 36.239.999.988,Dư nợ vay > USD,Dư nợ vay > VND > 34.999.999.996 > 22.968.684.881 > 14.156.184.363,Thời hạn vay (Tháng) > 60 > 48,Lãi suất(%) > Thay đổi theo từng lần phát sinh,Mục đích vay > Phục vụ sản xuất kinh doanh,Hình thức đảm bảo > Máy móc thiết bị,numeric__Hợp đồng/Khé ước > 153/2022/CN.MN-CTTC > 2022-00003-000 > 2022-00004-000,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 58.333.460.000 > 58.800.000.012 > 36.239.999.988,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 34.999.999.996 > 22.968.684.881 > 14.156.184.363,numeric__Thời hạn vay (Tháng) > 60 > 48,numeric__Lãi suất(%) > Thay đổi theo từng lần phát sinh,numeric__Mục đích vay > Phục vụ sản xuất kinh doanh,numeric__Hình thức đảm bảo > Máy móc thiết bị
Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,C2206240C2,,17.905.799.976,,8.247.326.199,42,Thay đổi theo từng lần phát sinh,Phục vụ sản xuất kinh doanh,Máy móc thiết bị,,,17905799976.0,,8247326199.0,42.0,,,
Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,21820000326/HĐC TTC,,7.028.330.970,,2.191.886.268,60,Lãi suất tham chiếu + biên độ 3.5%( Điều chỉnh 3 tháng 1 lần ),Thuê Hệ Thống điện áp Mái,Ký cược,,,7028330970.0,,2191886268.0,60.0,,,
Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phó Hồ Chí Minh,91/2021/CN.Mn-CTTC ngày 27/12/2021,,930.000.000,,795.150.000,60,Lãi suất tham chiếu + biên độ 3.5%( Điều chỉnh 3 tháng 1 lần ),Mua máy Kobe,Ký cược,,,930000000.0,,795150000.0,60.0,,,
Thuê mua tài chính,Thuê mua tài chính,Thuê mua tài chính,Thuê mua tài chính,Thuê mua tài chính,456.693.468.437,,191.311.645.503,,,,,,,456693468437.0,,191311645503.0,,,,
