row_label_raw,row_label_full,"TANG, GIAM TAI SAN CO ĐỊNH HUU HINH","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,1.916.566.456.398,4.014.164.782.338,91.791.223.966,36.472.445.731,108.168.046.083,6.167.162.954.516,1916566456398.0,4014164782338.0,91791223966.0,36472445731.0,108168046083.0,6167162954516.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,19.897.399.537,218.481.476.645,37.015.942.292,1.436.260.020,769.511.364,277.600.589.858,19897399537.0,218481476645.0,37015942292.0,1436260020.0,769511364.0,277600589858.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,82.800.000,9.446.648.578,37.015.942.292,1.436.260.020,481.818.182,48.463.469.072,82800000.0,9446648578.0,37015942292.0,1436260020.0,481818182.0,48463469072.0
- Đầu tu XDCB hoàn thành,I. Nguyên giá > - Đầu tu XDCB hoàn thành,- Đầu tu XDCB hoàn thành,19.814.599.537,12.396.769.411,,,287 693 182,32.499.062.130,19814599537.0,12396769411.0,,,,32499062130.0
- Mua lại TSCĐ thuê tài chính,I. Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,153.959.744.166,,,,153.959.744.166,,153959744166.0,,,,153959744166.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,,42.678.314.490,,,,42.678.314.490,,42678314490.0,,,,42678314490.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,1.178.807.600,41.035.100.366,8.214.723.357,,,50.428.631.323,1178807600.0,41035100366.0,8214723357.0,,,50428631323.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",1.178.807.600,4.559.451.000,8.214.723.357,,,13.952.981.957,1178807600.0,4559451000.0,8214723357.0,,,13952981957.0
- Giảm khác,I. Nguyên giá > - Giảm khác,- Giảm khác,,36.475.649.366,,,,36.475.649.366,,36475649366.0,,,,36475649366.0
4. Số dư cuối năm,I. Nguyên giá > 4. Số dư cuối năm,4. Số dư cuối năm,1.935.285.048.335,4.191.611.158.617,120.592.442.901,37.908.705.751,108.937.557.447,6.394.334.913.051,1935285048335.0,4191611158617.0,120592442901.0,37908705751.0,108937557447.0,6394334913051.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,331.748.161.848,832.069.543.913,69.534.286.290,15.112.913.661,21.977.788.075,1.270.442.693.787,331748161848.0,832069543913.0,69534286290.0,15112913661.0,21977788075.0,1270442693787.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,87.600.651.763,254.859.365.230,7.023.130.155,3.075.884.436,4.041.398.318,356.600.429.902,87600651763.0,254859365230.0,7023130155.0,3075884436.0,4041398318.0,356600429902.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,87.600.651.763,192.012.886.381,7.023.130.155,3.075.884.436,942.359.754,290.654.912.489,87600651763.0,192012886381.0,7023130155.0,3075884436.0,942359754.0,290654912489.0
- Mua lại TSCĐ thuê tài chính,II. Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,62.846.478.849,,,,62.846.478.849,,62846478849.0,,,,62846478849.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,,,,,3.099.038.564,3.099.038.564,,,,,3099038564.0,3099038564.0
3. Giảm trong năm,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm,3. Giảm trong năm,208.255.974,7.125.587.382,5.159.776.764,,,12.493.620.120,208255974.0,7125587382.0,5159776764.0,,,12493620120.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",208.255.974,2.591.086.796,5.159.776.764,,,7.959.119.534,208255974.0,2591086796.0,5159776764.0,,,7959119534.0
- Giảm khác,II. Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,,4.534.500.586,,,,4.534.500.586,,4534500586.0,,,,4534500586.0
4. Số dư cuối năm,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối năm,4. Số dư cuối năm,419.140.557.637,1.079.803.321.761,71.397.639.681,18.188.798.097,26.019.186.393,1.614.549.503.569,419140557637.0,1079803321761.0,71397639681.0,18188798097.0,26019186393.0,1614549503569.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,1.584.818.294.550,3.182.095.238.425,22.256.937.676,21.359.532.070,86.190.258.008,4.896.720.260.729,1584818294550.0,3182095238425.0,22256937676.0,21359532070.0,86190258008.0,4896720260729.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,1.516.144.490.698,3.111.807.836.856,49.194.803.220,19.719.907.654,82.918.371.054,4.779.785.409.482,1516144490698.0,3111807836856.0,49194803220.0,19719907654.0,82918371054.0,4779785409482.0
