row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.365.023.440.747,,847.857.871.091,,1.365.023.440.747,847.857.871.091,1365023440747.0,,847857871091.0,,1365023440747.0,847857871091.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,1.663.264.889.610,(67.702.333.658),1.743.926.948.733,(66.180.831.008),1.595.562.555.952,1.677.746.117.725,1663264889610.0,-67702333658.0,1743926948733.0,-66180831008.0,1595562555952.0,1677746117725.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,2.227.734.351.392,,2.196.427.469.364,,2.227.734.351.392,2.196.427.469.364,2227734351392.0,,2196427469364.0,,2227734351392.0,2196427469364.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,344.840.704.781,(528.000.000),382.423.586.632,(528.000.000),344.312.704.781,381.895.586.632,344840704781.0,-528000000.0,382423586632.0,-528000000.0,344312704781.0,381895586632.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,983.273.078.980,(1.316.610.153),953.815.064.164,(2.483.599.460),981.956.468.827,951.331.464.704,983273078980.0,-1316610153.0,953815064164.0,-2483599460.0,981956468827.0,951331464704.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,35.310.000.000,(2.000.000.000),145.310.000.000,(2.000.000.000),33.310.000.000,143.310.000.000,35310000000.0,-2000000000.0,145310000000.0,-2000000000.0,33310000000.0,143310000000.0
Cộng,Tài sản tài chính > Cộng,Cộng,6.619.446.465.510,(71.546.943.811),6.269.760.939.984,(71.192.430.468),6.547.899.521.699,6.198.568.509.516,6619446465510.0,-71546943811.0,6269760939984.0,-71192430468.0,6547899521699.0,6198568509516.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,520.907.086.114,,641.870.176.785,,520.907.086.114,641.870.176.785,520907086114.0,,641870176785.0,,520907086114.0,641870176785.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,382.741.437.860,,314.803.642.365,,382.741.437.860,314.803.642.365,382741437860.0,,314803642365.0,,382741437860.0,314803642365.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,10.781.758.702.353,,9.820.393.882.027,,10.781.758.702.353,9.820.393.882.027,10781758702353.0,,9820393882027.0,,10781758702353.0,9820393882027.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,35.149.434.608,,41.036.410.118,,35.149.434.608,41.036.410.118,35149434608.0,,41036410118.0,,35149434608.0,41036410118.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,114.046.483.241,,104.448.625.133,,114.046.483.241,104.448.625.133,114046483241.0,,104448625133.0,,114046483241.0,104448625133.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,11.834.603.144.176,,10.922.552.736.428,,11.834.603.144.176,10.922.552.736.428,11834603144176.0,,10922552736428.0,,11834603144176.0,10922552736428.0
