row_label_raw,row_label_full,col_0,Giá trị,Dư phòng,Giá trị_1,Dư phòng_1,numeric__Giá trị,numeric__Dư phòng,numeric__Giá trị_1,numeric__Dư phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,309.491.354.018,(528.000.000),328.677.766.460,(528.000.000),309491354018.0,-528000000.0,328677766460.0,-528000000.0
Tạm ứng,Tạm ứng,Tạm ứng,226.471.646.212,,248.364.537.730,,226471646212.0,,248364537730.0,
- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,11.141.417.000,,18.366.577.000,,11141417000.0,,18366577000.0,
- Lê Văn Ba,- Lê Văn Ba,- Lê Văn Ba,18.991.827.000,,17.487.227.000,,18991827000.0,,17487227000.0,
- CBCNV khác,- CBCNV khác,- CBCNV khác,196.338.402.212,,212.510.733.730,,196338402212.0,,212510733730.0,
Phải thu khác,Phải thu khác,Phải thu khác,79.189.007.806,(528.000.000),80.313.228.730,(528.000.000),79189007806.0,-528000000.0,80313228730.0,-528000000.0
- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,3.540.447.677,,6.414.221.939,,3540447677.0,,6414221939.0,
- Cục thuế tỉnh Đồng Tháp - hoàn thuế,- Cục thuế tỉnh Đồng Tháp - hoàn thuế,- Cục thuế tỉnh Đồng Tháp - hoàn thuế,18.465.382.177,,9.765.382.177,,18465382177.0,,9765382177.0,
- Huỳnh Phú Cường,- Huỳnh Phú Cường,- Huỳnh Phú Cường,26.514.170.000,,26.514.170.000,,26514170000.0,,26514170000.0,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,30.669.007.952,(528.000.000),37.619.454.614,(528.000.000),30669007952.0,-528000000.0,37619454614.0,-528000000.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",3.830.700.000,,,,3830700000.0,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,35.349.350.763,,53.745.820.172,,35349350763.0,,53745820172.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",35.349.350.763,,53.745.820.172,,35349350763.0,,53745820172.0,
Cộng,Cộng,Cộng,344.840.704.781,(528.000.000),382.423.586.632,(528.000.000),344840704781.0,-528000000.0,382423586632.0,-528000000.0
