row_label_raw,row_label_full,Thời hạn,Năm nay,Năm nay_1,Năm nay_2,Năm trước,Năm trước_1,Năm trước_2,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trà nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trà nợ gốc,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,77.664.185.685,17.600.952.914,60.063.232.771,148.954.425.562,14.719.746.367,134.234.679.195,77664185685.0,17600952914.0,60063232771.0,148954425562.0,14719746367.0,134234679195.0
Trên 1 năm đến 5 năm,Thời hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,37.846.480.189,7.950.681.493,29.895.798.696,42.333.111.540,8.865.448.504,33.467.663.036,37846480189.0,7950681493.0,29895798696.0,42333111540.0,8865448504.0,33467663036.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,115.510.665.874,25.551.634.407,89.959.031.467,191.287.537.102,23.585.194.871,167.702.342.231,115510665874.0,25551634407.0,89959031467.0,191287537102.0,23585194871.0,167702342231.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,50.122.868.388,50.122.868.388,62.954.037.552,62.954.037.552,,,50122868388.0,50122868388.0,62954037552.0,62954037552.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,50.122.868.388,50.122.868.388,62.954.037.552,62.954.037.552,,,50122868388.0,50122868388.0,62954037552.0,62954037552.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,
Dài hạn,Lãi thuê tài chính phải trả > Dài hạn,Dài hạn,Dài hạn,Dài hạn,141.188.777.115,141.188.777.115,220.905.206.011,220.905.206.011,,,141188777115.0,141188777115.0,220905206011.0,220905206011.0
Gốc nợ thuê tài chính,Lãi thuê tài chính phải trả > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,141.188.777.115,141.188.777.115,220.905.206.011,220.905.206.011,,,141188777115.0,141188777115.0,220905206011.0,220905206011.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,
Cộng,Lãi thuê tài chính phải trả > Cộng,Cộng,Cộng,Cộng,191.311.645.503,191.311.645.503,283.859.243.563,283.859.243.563,,,191311645503.0,191311645503.0,283859243563.0,283859243563.0
