row_label_raw,row_label_full,Chỉ tiêu,Số cuối năm > An Giang,Số cuối năm > Đồng Tháp,Số cuối năm > Khu vực khác,Số cuối năm > Tổng cộng,Số đầu năm > An Giang,Số đầu năm > Đồng Tháp,Số đầu năm > Khu vực khác,Số đầu năm > Tổng cộng,numeric__Số cuối năm > An Giang,numeric__Số cuối năm > Đồng Tháp,numeric__Số cuối năm > Khu vực khác,numeric__Số cuối năm > Tổng cộng,numeric__Số đầu năm > An Giang,numeric__Số đầu năm > Đồng Tháp,numeric__Số đầu năm > Khu vực khác,numeric__Số đầu năm > Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,8.891.097.472.036,10.055.794.192.114,448.151.850.699,19.395.043.514.849,8.086.299.796.521,9.602.436.195.894,440.289.007.721,18.129.025.000.136,8891097472036.0,10055794192114.0,448151850699.0,19395043514849.0,8086299796521.0,9602436195894.0,440289007721.0,18129025000136.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,912.409.643.730,,,,957.320.264.655,,,,912409643730.0,,,,957320264655.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,8.891.097.472.036,10.055.794.192.114,448.151.850.699,20.307.453.158.579,8.086.299.796.521,9.602.436.195.894,440.289.007.721,19.086.345.264.791,8891097472036.0,10055794192114.0,448151850699.0,20307453158579.0,8086299796521.0,9602436195894.0,440289007721.0,19086345264791.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,6.724.884.772.872,5.153.362.964.708,432.760.158.027,12.311.007.895.607,5.768.676.514.122,4.807.691.973.897,487.869.966.869,11.064.238.454.888,6724884772872.0,5153362964708.0,432760158027.0,12311007895607.0,5768676514122.0,4807691973897.0,487869966869.0,11064238454888.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,4.447.361.535.090,,,,182.288.585.380,,,,4447361535090.0,,,,182288585380.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,6.724.884.772.872,5.153.362.964.708,432.760.158.027,16.758.369.430.697,5.768.676.514.122,4.807.691.973.897,487.869.966.869,11.246.527.040.268,6724884772872.0,5153362964708.0,432760158027.0,16758369430697.0,5768676514122.0,4807691973897.0,487869966869.0,11246527040268.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bắt động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,751.174.089.304,75.072.911.194,,2.980.204.399.913,8.166.702.351.696,11.973.153.752.107,,,751174089304.0,75072911194.0,,2980204399913.0,8166702351696.0,11973153752107.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,,,5.048.171.822.882,4.031.637.528.810,166.151.861.181,1.097.528.463.539,9.963.963.482.167,20.307.453.158.579,,,5048171822882.0,4031637528810.0,166151861181.0,1097528463539.0,9963963482167.0,20307453158579.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,(239.077.925.477),,,,,,,,-239077925477.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bắt động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm trước,Năm trước,Năm trước,,,,,,,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,608.972.859.053,315.974.109.789,,3.365.534.880.976,9.458.740.121.872,13.749.221.971.690,,,608972859053.0,315974109789.0,,3365534880976.0,9458740121872.0,13749221971690.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,,,5.112.724.058.614,3.069.132.350.218,168.439.810.354,1.181.503.555.530,9.554.545.490.075,19.086.345.264.791,,,5112724058614.0,3069132350218.0,168439810354.0,1181503555530.0,9554545490075.0,19086345264791.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,(1.483.221.303.360),,,,,,,,-1483221303360.0
