row_label_raw,row_label_full,PHẢI TRẢ NGƯỜI BÁN,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,520.907.086.114,520.907.086.114,641.870.176.785,641.870.176.785,520907086114.0,520907086114.0,641870176785.0,641870176785.0
Bên khác,Bên khác,Bên khác,,,,,,,,
+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,Bên khác > + Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,,,15.528.161.000,15.528.161.000,,,15528161000.0,15528161000.0
+ Công ty CP Khai Anh Bình Thuận,Bên khác > + Công ty CP Khai Anh Bình Thuận,+ Công ty CP Khai Anh Bình Thuận,65.462.437.550,65.462.437.550,8.602.069.800,8.602.069.800,65462437550.0,65462437550.0,8602069800.0,8602069800.0
+ Công ty TNHH Trường Thắng,Bên khác > + Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,1.721.859.580,1.721.859.580,1.721.859.580,1.721.859.580,1721859580.0,1721859580.0,1721859580.0,1721859580.0
+ Công Ty Sterling And Wilson Private Limited,Bên khác > + Công Ty Sterling And Wilson Private Limited,+ Công Ty Sterling And Wilson Private Limited,24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,24876982503.0,24876982503.0,24876982503.0,24876982503.0
+ Công ty CP Nông Sản Tràng An,Bên khác > + Công ty CP Nông Sản Tràng An,+ Công ty CP Nông Sản Tràng An,12.654.607.500,12.654.607.500,17.464.845.000,17.464.845.000,12654607500.0,12654607500.0,17464845000.0,17464845000.0
+ Công ty TNHH MTV Thái Thị Thu Hạnh,Bên khác > + Công ty TNHH MTV Thái Thị Thu Hạnh,+ Công ty TNHH MTV Thái Thị Thu Hạnh,6.689.746.812,6.689.746.812,6.954.040.200,6.954.040.200,6689746812.0,6689746812.0,6954040200.0,6954040200.0
+ Công ty TNHH MTV Tiếp-Vận và Thương Mại Ocean Ship,Bên khác > + Công ty TNHH MTV Tiếp-Vận và Thương Mại Ocean Ship,+ Công ty TNHH MTV Tiếp-Vận và Thương Mại Ocean Ship,9.178.810.509,9.178.810.509,52.544.744.081,52.544.744.081,9178810509.0,9178810509.0,52544744081.0,52544744081.0
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,Bên khác > + Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,11.006.530.179,11.006.530.179,151.181.537.395,151.181.537.395,11006530179.0,11006530179.0,151181537395.0,151181537395.0
+ Công ty TNHH MTV KD&DT Toàn Cầu,Bên khác > + Công ty TNHH MTV KD&DT Toàn Cầu,+ Công ty TNHH MTV KD&DT Toàn Cầu,46.213.547.000,46.213.547.000,,,46213547000.0,46213547000.0,,
+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),Bên khác > + Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),50.000.200,50.000.200,50.000.200,50.000.200,50000200.0,50000200.0,50000200.0,50000200.0
+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),Bên khác > + Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),75.198.170.000,75.198.170.000,75.198.170.000,75.198.170.000,75198170000.0,75198170000.0,75198170000.0,75198170000.0
+ Công ty Sinohydro,Bên khác > + Công ty Sinohydro,+ Công ty Sinohydro,1.515.143.508,1.515.143.508,1.515.143.508,1.515.143.508,1515143508.0,1515143508.0,1515143508.0,1515143508.0
+ Đối tượng khác,Bên khác > + Đối tượng khác,+ Đối tượng khác,266.339.250.773,266.339.250.773,286.232.623.518,286.232.623.518,266339250773.0,266339250773.0,286232623518.0,286232623518.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,
b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,,,,,
Cộng,b) Dải hạn > Cộng,Cộng,520.907.086.114,520.907.086.114,641.870.176.785,641.870.176.785,520907086114.0,520907086114.0,641870176785.0,641870176785.0
