row_label_raw,row_label_full,Bên cho vay > - Ngân hàng TMCP Việt Nam Thịnh Vượng,Hợp đồng/Khé ước > Số AGG/22006,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 120.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 96.900.000.000,Thời hạn vay (Tháng) > 7 năm,Lãi suất(%) > Theo từng lần nhận nợ,Mục đích vay > Mua tài sản,"Hình thức đảm bảo > TS gắn liền với đất: Thừa đất số 33, tờ bản đồ số 12; Thừa đất số 34, tờ bản đồ số 12; Thừa đất số 79, tờ bản đồ số 12; Thừa đất số 81, tờ bản đồ số 12 tọa lạc tại Phường Mỹ Thới, TPLX, AG",numeric__Hợp đồng/Khé ước > Số AGG/22006,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 120.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 96.900.000.000,numeric__Thời hạn vay (Tháng) > 7 năm,numeric__Lãi suất(%) > Theo từng lần nhận nợ,numeric__Mục đích vay > Mua tài sản,"numeric__Hình thức đảm bảo > TS gắn liền với đất: Thừa đất số 33, tờ bản đồ số 12; Thừa đất số 34, tờ bản đồ số 12; Thừa đất số 79, tờ bản đồ số 12; Thừa đất số 81, tờ bản đồ số 12 tọa lạc tại Phường Mỹ Thới, TPLX, AG"
Đối tượng khác,Đối tượng khác,Đối tượng khác,Tùng hợp đồng cụ thể,,,,45.995.000.000,24,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Vay của cá nhân,,,,,45995000000.0,24.0,,,
- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,MLBUS-H10220193,,280.000.000.000,,300.000.000.000,60,theo từng lần nhận nợ,Sản xuất kinh doanh,QSDĐ,,,280000000000.0,,300000000000.0,60.0,,,
- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,- Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,MLBUS-H10220194,,80.000.000.000,,300.000.000.000,60,theo từng lần nhận nợ,Sản xuất kinh doanh,QSDĐ,,,80000000000.0,,300000000000.0,60.0,,,
Tổng Nợ:,Tổng Nợ:,Tổng Nợ:,Tổng Nợ:,,12.168.018.367.854,,10.590.447.056.850,,,,,,,12168018367854.0,,10590447056850.0,,,,
