row_label_raw,row_label_full,Chỉ tiêu,Năm nay > An Giang,Năm nay > Đồng Tháp,Năm nay > Khu vực khác,Năm nay > Tổng cộng,Năm trước > An Giang,Năm trước > Đồng Tháp,Năm trước > Khu vực khác,Năm trước > Tổng cộng,numeric__Năm nay > An Giang,numeric__Năm nay > Đồng Tháp,numeric__Năm nay > Khu vực khác,numeric__Năm nay > Tổng cộng,numeric__Năm trước > An Giang,numeric__Năm trước > Đồng Tháp,numeric__Năm trước > Khu vực khác,numeric__Năm trước > Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.708.669.455.725,9.062.099.067.123,202.385.229.259,11.973.153.752.107,3.535.261.681.153,9.924.059.443.405,289.900.847.132,13.749.221.971.690,2708669455725.0,9062099067123.0,202385229259.0,11973153752107.0,3535261681153.0,9924059443405.0,289900847132.0,13749221971690.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,2.708.669.455.725,9.062.099.067.123,202.385.229.259,11.973.153.752.107,3.535.261.681.153,9.924.059.443.405,289.900.847.132,13.749.221.971.690,2708669455725.0,9062099067123.0,202385229259.0,11973153752107.0,3535261681153.0,9924059443405.0,289900847132.0,13749221971690.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,500.226.792.333,697.525.118.720,143.223.958.476,1.340.975.869.529,533.864.761.330,1.228.966.460.477,183.427.864.821,1.946.259.086.628,500226792333.0,697525118720.0,143223958476.0,1340975869529.0,533864761330.0,1228966460477.0,183427864821.0,1946259086628.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(464.311.271.821),,,,(617.323.028.523),,,,-464311271821.0,,,,-617323028523.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,876.664.597.708,,,,1.328.936.058.105,,,,876664597708.0,,,,1328936058105.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,233.545.689.673,,,,280.672.224.103,,,,233545689673.0,,,,280672224103.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(791.357.925.125),,,,(564.524.518.008),,,,-791357925125.0,,,,-564524518008.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,18.093.937.205,,,,30.097.845.897,,,,18093937205.0,,,,30097845897.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(17.804.875.305),,,,(13.197.479.582),,,,-17804875305.0,,,,-13197479582.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(70.582.325.528),,,,(95.246.434.355),,,,-70582325528.0,,,,-95246434355.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,3.140.272.584,,,,(4.152.950.854),,,,3140272584.0,,,,-4152950854.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,251.699.371.212,,,,962.584.745.306,,,,251699371212.0,,,,962584745306.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,(239.077.925.477),,,,(1.483.221.303.360),,,,-239077925477.0,,,,-1483221303360.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(450.585.527.054),,,,(451.122.082.197),,,,-450585527054.0,,,,-451122082197.0
