row_label_raw,row_label_full,Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ,Năm nay > Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ,Năm trước > Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ,numeric__Năm nay > Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ,numeric__Năm trước > Giá trị còn lại TSCĐ và chi phí thanh lý TSCĐ
Chi phí cho thuê tài sản,Chi phí cho thuê tài sản,Chi phí cho thuê tài sản,4.894.988.278,4.377.657.766,4894988278.0,4377657766.0
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,5.126.029.267,3.900.294.167,5126029267.0,3900294167.0
Các khoản khác,Các khoản khác,Các khoản khác,7.783.857.760,4.919.527.649,7783857760.0,4919527649.0
Cộng,Cộng,Cộng,17.804.875.305,13.197.479.582,17804875305.0,13197479582.0
