row_label_raw,row_label_full,Họ tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,,6.501.291.125,6.210.881.000,,6501291125.0,6210881000.0
Lê Tuấn Anh,Lê Tuấn Anh,Lê Tuấn Anh,Tổng Giám Đốc,897.880.400,678.050.000,,897880400.0,678050000.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Nguyên Tổng Giám Đốc,1.162.742.500,1.904.900.000,,1162742500.0,1904900000.0
Lê Văn Thành,Lê Văn Thành,Lê Văn Thành,Phó Tổng Giám Đốc,766.812.500,678.900.000,,766812500.0,678900000.0
Lê Xuân Quế,Lê Xuân Quế,Lê Xuân Quế,Phó Tổng Giám Đốc,933.526.000,682.700.000,,933526000.0,682700000.0
Trương Vĩnh Thành,Trương Vĩnh Thành,Trương Vĩnh Thành,Phó Tổng Giám Đốc,661.093.400,679.800.000,,661093400.0,679800000.0
Lê Thị Phượng,Lê Thị Phượng,Lê Thị Phượng,Phó Tổng Giám Đốc,661.643.400,680.200.000,,661643400.0,680200000.0
Lê Nguyễn Hoàng Anh Duy,Lê Nguyễn Hoàng Anh Duy,Lê Nguyễn Hoàng Anh Duy,Phó Tổng Giám Đốc,519.513.600,,,519513600.0,
Trương Công Khánh,Trương Công Khánh,Trương Công Khánh,Giám Đốc Tài Chính,492.390.100,509.031.000,,492390100.0,509031000.0
Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Kế Toán Trường,405.689.225,397.300.000,,405689225.0,397300000.0
