row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí mối giới và tư vấn bán hàng liên quan đến các căn hộ chưa bàn giao,Ngắn hạn: > Chi phí mối giới và tư vấn bán hàng liên quan đến các căn hộ chưa bàn giao,Chi phí mối giới và tư vấn bán hàng liên quan đến các căn hộ chưa bàn giao,129.436.282.103,47.748.753.391,129436282103.0,47748753391.0
Chi phí lãi vay trả trước cho bên liên quan (Thuyết minh số 35),Ngắn hạn: > Chi phí lãi vay trả trước cho bên liên quan (Thuyết minh số 35),Chi phí lãi vay trả trước cho bên liên quan (Thuyết minh số 35),23.446.929.828,20.667.325.201,23446929828.0,20667325201.0
Thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn: > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,13.096.751.582,2.196.105.358,13096751582.0,2196105358.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,19.407.372.133,7.498.688.973,19407372133.0,7498688973.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,185.387.335.646,78.110.872.923,185387335646.0,78110872923.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê đất trả trước,Dài hạn: > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,24.168.155.803,91.860.228.526,24168155803.0,91860228526.0
Chi phí thu xếp các khoản vay,Dài hạn: > Chi phí thu xếp các khoản vay,Chi phí thu xếp các khoản vay,-,11.592.017.469,,11592017469.0
Chi phí hoa hồng môi giới,Dài hạn: > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,16.146.019.041,6.575.047.002,16146019041.0,6575047002.0
"Công cụ, dụng cụ","Dài hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",15.508.616.737,5.850.563.495,15508616737.0,5850563495.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,19.009.211.018,17.296.470.292,19009211018.0,17296470292.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,74.832.002.599,133.174.326.784,74832002599.0,133174326784.0
