row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất > Số cuối năm,Bảng cân đối kế toán hợp nhất > Số đầu năm,Đơn vị tính: VNDBảo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,Đơn vị tính: VNDBảo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước,numeric__Bảng cân đối kế toán hợp nhất > Số cuối năm,numeric__Bảng cân đối kế toán hợp nhất > Số đầu năm,numeric__Đơn vị tính: VNDBảo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,numeric__Đơn vị tính: VNDBảo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,Tài sản thuế TNDN hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong kỳ,982.854.557,1.474.281.835,(491.427.278),890.299.075,982854557.0,1474281835.0,-491427278.0,890299075.0
Chênh lệch khác,Tài sản thuế TNDN hoãn lại > Chênh lệch khác,Chênh lệch khác,1.876.690.438,-,1.876.690.436,-,1876690438.0,,1876690436.0,
Tổng cộng,Tài sản thuế TNDN hoãn lại > Tổng cộng,Tổng cộng,2.859.544.995,1.474.281.835,,,2859544995.0,1474281835.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con,(105.509.800.000),-,-,-,-105509800000.0,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con khác,Thuế TNDN hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con khác,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua một công ty con khác,(244.275.953.616),-,-,-,-244275953616.0,,,
Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,Thuế TNDN hoãn lại phải trả > Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,Chênh lệch từ đánh giá lại tài sản thuần của công ty con khi sáp nhập,(11.763.836.350),-,(11.763.836.351),-,-11763836350.0,,-11763836351.0,
Tổng cộng,Thuế TNDN hoãn lại phải trả > Tổng cộng,Tổng cộng,(361.549.589.966),-,,,-361549589966.0,,,
(Chi phí)/thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > (Chi phí)/thu nhập thuế TNDN hoãn lại,(Chi phí)/thu nhập thuế TNDN hoãn lại,,,(10.378.573.193),890.299.075,,,-10378573193.0,890299075.0
