row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nhận vốn góp từ bên liên quan,Cổ tức đã trả cho bên liên quan,Hoàn trả tiền đặt cọc thuê TTTM cho bên liên quan,Thu hộ phải trả cho bên liên quan,Thu hộ đã trả cho bên liên quan,Phạt thanh lý hợp đồng phải trả cho bên liên quan,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Nhận vốn góp từ bên liên quan,numeric__Cổ tức đã trả cho bên liên quan,numeric__Hoàn trả tiền đặt cọc thuê TTTM cho bên liên quan,numeric__Thu hộ phải trả cho bên liên quan,numeric__Thu hộ đã trả cho bên liên quan,numeric__Phạt thanh lý hợp đồng phải trả cho bên liên quan,numeric__Đơn vị tính: VND
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,538.141.870.000,409.978.109.961,-,-,-,-,-,,538141870000.0,409978109961.0,,,,,
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,1.614.425.600.000,136.659.540.039,-,-,-,-,-,,1614425600000.0,136659540039.0,,,,,
Công ty Cổ phần Đầu tư và Phát triển Địa ốc TP Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc TP Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc TP Hoàng Gia,Công ty trong cùng Tập đoàn,-,-,1.572.227.262.147,87.680.113.792,102.893.081.661,(53.911.020.333),53.911.020.333,,,,1572227262147.0,87680113792.0,102893081661.0,-53911020333.0,53911020333.0
Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,-,-,1.532.917.430.410,55.188.867.711,40.746.304.207,(51.366.025.662),51.366.025.662,,,,1532917430410.0,55188867711.0,40746304207.0,-51366025662.0,51366025662.0
Công ty Cổ phần thời trang M.Y.M (tên trước đây là Công ty Cổ phần Thời trang Vinfashion),Công ty Cổ phần thời trang M.Y.M (tên trước đây là Công ty Cổ phần Thời trang Vinfashion),Công ty Cổ phần thời trang M.Y.M (tên trước đây là Công ty Cổ phần Thời trang Vinfashion),Công ty liên kết của công ty mẹ,-,-,994.172.682.968,-,-,-,-,,,,994172682968.0,,,,
