row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Phát triển đô thị Nam Hà Nội > Tập đoàn Vingroup – Công ty CP,Mối quan hệ > Công ty trong cùng Tập đoàn > Công ty mẹ,Số cuối năm VND > 1.570.545.182.000 > 894.987.500.000,Lãi suất %/năm > 7%,Ngày đáo hạn > Ngày 27 tháng 5 năm 2015 > Ngày 22 tháng 4 năm 2015,numeric__Mối quan hệ > Công ty trong cùng Tập đoàn > Công ty mẹ,numeric__Số cuối năm VND > 1.570.545.182.000 > 894.987.500.000,numeric__Lãi suất %/năm > 7%,numeric__Ngày đáo hạn > Ngày 27 tháng 5 năm 2015 > Ngày 22 tháng 4 năm 2015
,,,,2.465.532.682.000,,,,2465532682000.0,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số cuối năm VND,Lãi suất %/năm,Ngày đáo hạn,,,,
Tập đoàn Vingroup – Công ty CP,Bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,2.613.600.000.000,13%,Ngày 12 tháng 1 năm 2019,,2613600000000.0,0.13,
,,,,2.613.600.000.000,,,,2613600000000.0,,
