row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Dự án Vinhomes Star (i),Dự án Vinhomes Star (i),Dự án Vinhomes Star (i),3.014.105.136.978,-,3014105136978.0,
Dự án Vincom Center Thảo Điền (ii),Dự án Vincom Center Thảo Điền (ii),Dự án Vincom Center Thảo Điền (ii),1.512.611.165.827,1.623.262.808.290,1512611165827.0,1623262808290.0
Các TTTM của Công ty An Phong,Các TTTM của Công ty An Phong,Các TTTM của Công ty An Phong,662.172.500.000,-,662172500000.0,
Dự án Vincom Trung Tự (iii),Dự án Vincom Trung Tự (iii),Dự án Vincom Trung Tự (iii),548.136.711.072,-,548136711072.0,
Dự án Vincom Bắc Ninh,Dự án Vincom Bắc Ninh,Dự án Vincom Bắc Ninh,261.266.168.755,-,261266168755.0,
Dự án Vincom Buôn Mê Thuột,Dự án Vincom Buôn Mê Thuột,Dự án Vincom Buôn Mê Thuột,172.218.535.702,-,172218535702.0,
Dự án Riverview Đà Nẵng,Dự án Riverview Đà Nẵng,Dự án Riverview Đà Nẵng,59.240.477.339,161.172.095.448,59240477339.0,161172095448.0
Dự án Vincom Bạc Liêu,Dự án Vincom Bạc Liêu,Dự án Vincom Bạc Liêu,28.228.070.000,-,28228070000.0,
Dự án Vinhomes Nguyễn Chí Thanh,Dự án Vinhomes Nguyễn Chí Thanh,Dự án Vinhomes Nguyễn Chí Thanh,-,1.544.589.748.144,,1544589748144.0
Dự án Vincom Center Hải Phòng,Dự án Vincom Center Hải Phòng,Dự án Vincom Center Hải Phòng,-,223.597.202.054,,223597202054.0
Dự án Vincom Center An Giang,Dự án Vincom Center An Giang,Dự án Vincom Center An Giang,-,101.750.000.000,,101750000000.0
Các dự án khác,Các dự án khác,Các dự án khác,107.687.549.024,8.467.603.747,107687549024.0,8467603747.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.365.666.314.697,3.662.839.457.683,6365666314697.0,3662839457683.0
