row_label_raw,row_label_full,Nợ phải trả,Nợ phải trả_1,numeric__Nợ phải trả_1
Phải trả người bán,Phải trả người bán,Phải trả người bán,19.709.487.117,19709487117.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,12.782.270.425,12782270425.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,35.905.438.642,35905438642.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,138.700.000.000,138700000000.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,10.962.923.883,10962923883.0
