row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,163.571.669.267,69.508.623.717,163571669267.0,69508623717.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,417.587.173,35.377.768.791,417587173.0,35377768791.0
Thu nhập từ phạt hợp đồng,Thu nhập từ phạt hợp đồng,Thu nhập từ phạt hợp đồng,16.942.413.568,29.107.222.685,16942413568.0,29107222685.0
Lãi từ giao dịch mua rề (Thuyết minh số 4.2),Lãi từ giao dịch mua rề (Thuyết minh số 4.2),Lãi từ giao dịch mua rề (Thuyết minh số 4.2),126.695.368.227,-,126695368227.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,19.516.300.299,5.023.632.241,19516300299.0,5023632241.0
Chi phí khác,Chi phí khác,Chi phí khác,132.592.721.819,44.775.184.289,132592721819.0,44775184289.0
Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,3.032.780.615,34.582.803.815,3032780615.0,34582803815.0
Chi phí phạt vi phạm hợp đồng (*),Chi phí phạt vi phạm hợp đồng (*),Chi phí phạt vi phạm hợp đồng (*),112.878.707.222,8.431.166.188,112878707222.0,8431166188.0
Chi phí khác,Chi phí khác,Chi phí khác,16.681.233.982,1.761.214.286,16681233982.0,1761214286.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,30.978.947.448,24.733.439.428,30978947448.0,24733439428.0
