row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả (Thuyết minh số 22),Môi quan hệ > Chi phí phải trả (Thuyết minh số 22),Nội dung nghiệp vụ > Chi phí phải trả (Thuyết minh số 22),Số cuối năm > Chi phí phải trả (Thuyết minh số 22),Số đầu năm > Chi phí phải trả (Thuyết minh số 22),numeric__Môi quan hệ > Chi phí phải trả (Thuyết minh số 22),numeric__Nội dung nghiệp vụ > Chi phí phải trả (Thuyết minh số 22),numeric__Số cuối năm > Chi phí phải trả (Thuyết minh số 22),numeric__Số đầu năm > Chi phí phải trả (Thuyết minh số 22)
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Lãi vay phải trả,583.977.019.751,154.135.820.860,,,583977019751.0,154135820860.0
Công ty TNHH Vinfashion,Công ty TNHH Vinfashion,Công ty TNHH Vinfashion,Công ty trong cùng Tập đoàn,Lãi vay phải trả,-,9.673.408.963,,,,9673408963.0
Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty trong cùng Tập đoàn,Phí dịch vụ bảo vệ,1.038.093.800,723.541.120,,,1038093800.0,723541120.0
Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,Chi phí xây dựng,186.877.851.118,-,,,186877851118.0,
,,,,,771.892.964.669,164.532.770.943,,,771892964669.0,164532770943.0
"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23)",,,,
Công ty Hoàng Gia,"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23) > Công ty Hoàng Gia",Công ty Hoàng Gia,Công ty trong cùng Tập đoàn,Thanh toán hộ,-,6.286.894.884,,,,6286894884.0
Công ty Vincommerce,"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23) > Công ty Vincommerce",Công ty Vincommerce,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,13.369.476.573,-,,,13369476573.0,
Phải trả các bên liên quan khác,"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 23) > Phải trả các bên liên quan khác",Phải trả các bên liên quan khác,,Phải trả khác,5.179.752.860,21.846.152.754,,,5179752860.0,21846152754.0
,,,,,18.549.229.433,28.133.047.638,,,18549229433.0,28133047638.0
Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),,,,
Công ty Hoàng Gia,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,-,1.572.227.262.147,,,,1572227262147.0
Công ty Vincommerce,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,39.249.715.028,16.968.828.455,,,39249715028.0,16968828455.0
Công ty TNHH Vinpearlland,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,25.872.792.922,3.224.709.600,,,25872792922.0,3224709600.0
Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,-,1.532.917.430.410,,,,1532917430410.0
Công ty TNHH Vinfashion,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty TNHH Vinfashion,Công ty TNHH Vinfashion,Công ty trong cùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,-,994.172.682.968,,,,994172682968.0
Các bên liên quan khác,Phải trả dài hạn khác (Thuyết minh số 25) > Các bên liên quan khác,Các bên liên quan khác,,Đặt cọc thuê mặt bằng TTTM,13.562.949.086,5.063.668.754,,,13562949086.0,5063668754.0
,,,,,78.685.457.036,4.124.574.582.334,,,78685457036.0,4124574582334.0
