row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị(trình bày lại),Số đầu năm > Số có khả năngtrả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị(trình bày lại),numeric__Số đầu năm > Số có khả năngtrả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ
Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,24.2.2,2.279.554.166.667,2.279.554.166.667,2.822.837.499.999,(2.314.350.000.000),2.788.041.666.666,2.788.041.666.666,2422.0,2279554166667.0,2279554166667.0,2822837499999.0,-2314350000000.0,2788041666666.0,2788041666666.0
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,24.2.1,-,-,192.126.730.154,(24.488.117.484),167.638.612.670,167.638.612.670,2421.0,,,192126730154.0,-24488117484.0,167638612670.0,167638612670.0
Vay chuyển đổi từ các cổ đông,Vay chuyển đổi từ các cổ đông,Vay chuyển đổi từ các cổ đông,24.2.3,427.500.000.000,427.500.000.000,21.500.000.000,-,449.000.000.000,449.000.000.000,2423.0,427500000000.0,427500000000.0,21500000000.0,,449000000000.0,449000000000.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,,-,-,29.500.000.000,(29.500.000.000),-,-,,,,29500000000.0,-29500000000.0,,
Vay từ các bên liên quan,Vay từ các bên liên quan,Vay từ các bên liên quan,35,7.186.541.666.667,7.186.541.666.667,4.922.000.000.000,(1.600.000.000.000),10.508.541.666.667,10.508.541.666.667,35.0,7186541666667.0,7186541666667.0,4922000000000.0,-1600000000000.0,10508541666667.0,10508541666667.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.893.595.833.334,9.893.595.833.334,7.987.964.230.153,(3.968.338.117.484),13.913.221.946.003,13.913.221.946.003,,9893595833334.0,9893595833334.0,7987964230153.0,-3968338117484.0,13913221946003.0,13913221946003.0
