row_label_raw,row_label_full,Bên liên quan > Phải thu khác (Thuyết minh số 8) (tiếp theo) > Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Mối quan hệ > Phải thu khác (Thuyết minh số 8) (tiếp theo) > Công ty trong cùng Tập đoàn,Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8) (tiếp theo) > Tiền lãi phải thu,Số cuối năm > Phải thu khác (Thuyết minh số 8) (tiếp theo) > -,Đơn vị tính: VND > Phải thu khác (Thuyết minh số 8) (tiếp theo) > 21.594.880.302,numeric__Mối quan hệ > Phải thu khác (Thuyết minh số 8) (tiếp theo) > Công ty trong cùng Tập đoàn,numeric__Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8) (tiếp theo) > Tiền lãi phải thu,numeric__Số cuối năm > Phải thu khác (Thuyết minh số 8) (tiếp theo) > -,numeric__Đơn vị tính: VND > Phải thu khác (Thuyết minh số 8) (tiếp theo) > 21.594.880.302
Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty trong cùng Tập đoàn,"Phải thu bán máy móc, thiết bị",-,35.989.974.969,,,,35989974969.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Phải thu khác,10.755.035.562,1.774.060.367,,,10755035562.0,1774060367.0
,,,,,265.957.232.107,176.733.680.727,,,265957232107.0,176733680727.0
Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),,,,
Credit Suisse,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Credit Suisse,Credit Suisse,Cổ đông,Lãi vay trả trước,5.861.732.457,5.166.831.300,,,5861732457.0,5166831300.0
Warburg Pincus,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Warburg Pincus,Warburg Pincus,Cổ đông,Lãi vay trả trước,17.585.197.371,15.500.493.901,,,17585197371.0,15500493901.0
,,,,,23.446.929.828,20.667.325.201,,,23446929828.0,20667325201.0
Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),,,,
Tập đoàn Vingroup – Công ty CP,Tài sản ngắn hạn khác (Thuyết minh số 11) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Đặt cọc hợp tác đầu tư,810.514.542.712,257.329.553.500,,,810514542712.0,257329553500.0
Credit Suisse,Tài sản ngắn hạn khác (Thuyết minh số 11) > Credit Suisse,Credit Suisse,Cổ đông,Cổ tức ứng trước,69.643.218.729,44.513.854.184,,,69643218729.0,44513854184.0
Warburg Pincus,Tài sản ngắn hạn khác (Thuyết minh số 11) > Warburg Pincus,Warburg Pincus,Cổ đông,Cổ tức ứng trước,208.929.656.186,133.541.562.553,,,208929656186.0,133541562553.0
,,,,,1.089.087.417.627,435.384.970.237,,,1089087417627.0,435384970237.0
Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),Phải trả người bán (Thuyết minh số 19),,,,
Tập đoàn Vingroup – Công ty CP,Phải trả người bán (Thuyết minh số 19) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Phí quản lý Mua sắm hàng hóa dịch vụ,52.732.202.507,1.575.258.196,,,52732202507.0,1575258196.0
Tập đoàn Vingroup – Công ty CP,Phải trả người bán (Thuyết minh số 19) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Phí quản lý Mua sắm hàng hóa dịch vụ,-,4.767.532.351,,,,4767532351.0
Công ty TNHH Quản lý Xây dựng Vincom 1,Phải trả người bán (Thuyết minh số 19) > Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,Chi phí xây dựng,391.054.008.240,108.167.394.622,,,391054008240.0,108167394622.0
Công ty TNHH Quản lý Bất động sản Vinhomes,Phải trả người bán (Thuyết minh số 19) > Công ty TNHH Quản lý Bất động sản Vinhomes,Công ty TNHH Quản lý Bất động sản Vinhomes,Công ty trong cùng Tập đoàn,Chi phí dịch vụ,15.472.485.681,-,,,15472485681.0,
Công ty TNHH Kinh doanh Bất động sản Vinhomes 2,Phải trả người bán (Thuyết minh số 19) > Công ty TNHH Kinh doanh Bất động sản Vinhomes 2,Công ty TNHH Kinh doanh Bất động sản Vinhomes 2,Công ty trong cùng Tập đoàn,Chi phí dịch vụ,68.906.859.724,-,,,68906859724.0,
Các bên liên quan khác,Phải trả người bán (Thuyết minh số 19) > Các bên liên quan khác,Các bên liên quan khác,,"Chi phí mua hàng hóa, dịch vụ",29.329.442.375,17.258.801.295,,,29329442375.0,17258801295.0
,,,,,557.494.998.527,131.768.986.464,,,557494998527.0,131768986464.0
