row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu khách hàng (Thuyết minh số 7.1)
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu tiền phí thuê TTTM,3.406.981.743,5.378.700.007,,,3406981743.0,5378700007.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu bán hàng hóa,122.624.838.606,-,,,122624838606.0,
Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty trong cùng Tập đoàn,Phải thu tiền phí thuê TTTM,7.094.466.442,5.688.759.116,,,7094466442.0,5688759116.0
Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty trong cùng Tập đoàn,Phí dịch vụ phải thu,1.702.675.908,-,,,1702675908.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Công ty trong cùng Tập đoàn,Phải thu tiền phí thuê TTTM,18.763.190.192,13.420.912.996,,,18763190192.0,13420912996.0
,,,,,153.592.152.891,24.488.372.119,,,153592152891.0,24488372119.0
Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),Trả trước cho người bán (Thuyết minh số 7.2),,,,
Công ty TNHH Quản lý Xây dựng Vincom 1,Trả trước cho người bán (Thuyết minh số 7.2) > Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,Trả trước tiền xây dựng,441.033.616.698,1.627.825.319.339,,,441033616698.0,1627825319339.0
,,,,,441.033.616.698,1.627.825.319.339,,,441033616698.0,1627825319339.0
Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),,,,
Công ty TNHH Kinh Doanh Bất động sản Vinhomes 1,Phải thu khác (Thuyết minh số 8) > Công ty TNHH Kinh Doanh Bất động sản Vinhomes 1,Công ty TNHH Kinh Doanh Bất động sản Vinhomes 1,Công ty trong cùng Tập đoàn,Chi hộ phải thu,-,7.617.168.849,,,,7617168849.0
Công ty TNHH Quản lý Xây dựng Vincom 1,Phải thu khác (Thuyết minh số 8) > Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,Tiền lãi phải thu,97.318.672.595,9.474.646.935,,,97318672595.0,9474646935.0
Tập đoàn Vingroup – Công ty CP,Phải thu khác (Thuyết minh số 8) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Tiền lãi phải thu,150.455.176.487,100.282.949.305,,,150455176487.0,100282949305.0
Tập đoàn Vingroup – Công ty CP,Phải thu khác (Thuyết minh số 8) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Chi hộ phải thu,207.940.592,-,,,207940592.0,
Tập đoàn Vingroup – Công ty CP,Phải thu khác (Thuyết minh số 8) > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,Phải thu dòng tiền quản lý tập trung,7.220.406.871,-,,,7220406871.0,
