row_label_raw,row_label_full,"Mã số 25 – Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác > Mua lại các công ty con, số dư tiền thuần của các công ty con tại ngày mua",Mã số 25 – Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác > (4.686.764.725.643),Mã số 25 – Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác > (1.765.566.245.163),numeric__Mã số 25 – Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác > (4.686.764.725.643),numeric__Mã số 25 – Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác > (1.765.566.245.163)
Mua lại các cổ phiếu bổ sung ở các công ty con hiện hữu,Mua lại các cổ phiếu bổ sung ở các công ty con hiện hữu,Mua lại các cổ phiếu bổ sung ở các công ty con hiện hữu,-,(400.800.000.000),,-400800000000.0
Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác,Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác,Thanh toán tiền đầu tư vốn cổ phần vào các đơn vị khác,-,(235.722.222.222),,-235722222222.0
Đặt cọc để mua cổ phiếu của các đơn vị khác,Đặt cọc để mua cổ phiếu của các đơn vị khác,Đặt cọc để mua cổ phiếu của các đơn vị khác,(243.728.422.500),(716.500.000.000),-243728422500.0,-716500000000.0
Tiền ứng trước cho hợp đồng hợp tác kinh doanh,Tiền ứng trước cho hợp đồng hợp tác kinh doanh,Tiền ứng trước cho hợp đồng hợp tác kinh doanh,-,(1.470.000.000.000),,-1470000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(4.930.493.148.143),(4.588.588.467.385),-4930493148143.0,-4588588467385.0
