row_label_raw,row_label_full,col_0,Quyền sử dụng đấtlâu dài,Quyền sử dụng đấtcó thời hạn và quyềnthuế đất,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Đơn vị tính: VNDTổng cộng,numeric__Quyền sử dụng đấtlâu dài,numeric__Quyền sử dụng đấtcó thời hạn và quyềnthuế đất,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,437.903.875.923,964.175.798.542,6.336.290.528.773,1.892.645.682.036,9.631.015.885.274,437903875923.0,964175798542.0,6336290528773.0,1892645682036.0,9631015885274.0
- Xây dựng cơ bản hoànthành,Nguyên giá: > - Xây dựng cơ bản hoànthành,- Xây dựng cơ bản hoànthành,-,634.977.067.436,3.320.911.235.689,633.197.630.683,4.589.085.933.808,,634977067436.0,3320911235689.0,633197630683.0,4589085933808.0
- Tăng do mua công tycon mới,Nguyên giá: > - Tăng do mua công tycon mới,- Tăng do mua công tycon mới,-,1.427.252.826.872,603.622.589.688,198.052.900(198.052.900),2.031.073.469.460(198.052.900),,1427252826872.0,603622589688.0,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,198.052.900(198.052.900),2.031.073.469.460(198.052.900),,,,,
Số cuối năm,"- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,437.903.875.923,3.026.405.692.850,10.260.824.354.150,2.525.843.312.719,16.250.977.235.642,437903875923.0,3026405692850.0,10260824354150.0,2525843312719.0,16250977235642.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,32.405.845.916,156.567.472.075,227.256.840.536,416.230.158.528,,32405845916.0,156567472075.0,227256840536.0,416230158528.0
- Khấu hao và hao mòntrong năm,Giá trị hao mòn lũy kế: > - Khấu hao và hao mòntrong năm,- Khấu hao và hao mòntrong năm,-,60.353.930.827,195.579.293.810,157.969.714.048,413.902.938.685,,60353930827.0,195579293810.0,157969714048.0,413902938685.0
- Tăng do mua công tycon mới,Giá trị hao mòn lũy kế: > - Tăng do mua công tycon mới,- Tăng do mua công tycon mới,-,64.983.197.117,36.312.003.292,142.569.499(142.650.055),101.437.769.908(142.650.055),,64983197117.0,36312003292.0,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,142.569.499(142.650.055),101.437.769.908(142.650.055),,,,,
Số cuối năm,"- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,-,157.742.973.860,388.458.769.177,385.226.474.028,931.428.217.065,,157742973860.0,388458769177.0,385226474028.0,931428217065.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,437.903.875.923,931.769.952.625,6.179.723.056.697,1.665.388.841.500,9.214.785.726.746,437903875923.0,931769952625.0,6179723056697.0,1665388841500.0,9214785726746.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,437.903.875.923,2.868.662.718.990,9.872.365.584.973,2.140.616.838.691,15.319.549.018.577,437903875923.0,2868662718990.0,9872365584973.0,2140616838691.0,15319549018577.0
