row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Doanh thu từ cung cấp dịch vụ quản lý và cho thuê VND,Thu tiền doanh thu từ cung cấp dịch vụ quản lý và cho thuê VND,Mua sắm hàng hóa và dịch vụ phải trả VND,Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ VND,Tiền đặt cọc thuê TTTM đã nhận VND,Hoàn cọc VND,numeric__Mối quan hệ,numeric__Doanh thu từ cung cấp dịch vụ quản lý và cho thuê VND,numeric__Thu tiền doanh thu từ cung cấp dịch vụ quản lý và cho thuê VND,numeric__Mua sắm hàng hóa và dịch vụ phải trả VND,numeric__Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ VND,numeric__Tiền đặt cọc thuê TTTM đã nhận VND,numeric__Hoàn cọc VND
Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty trong cùng Tập đoàn,-,-,(57.745.054.587),57.470.077.787,-,-,,,,-57745054587.0,57470077787.0,,
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,50.003.208.135,(42.893.347.374),(121.883.946.916),115.844.783.966,-,-,,50003208135.0,-42893347374.0,-121883946916.0,115844783966.0,,
Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty trong cùng Tập đoàn,138.702.573.320,(138.417.544.144),-,-,(21.974.359.191),-,,138702573320.0,-138417544144.0,,,-21974359191.0,
Công ty Cổ phần Địa ốc thành phố Hoàng Gia,Công ty Cổ phần Địa ốc thành phố Hoàng Gia,Công ty Cổ phần Địa ốc thành phố Hoàng Gia,Công ty trong cùng Tập đoàn,72.205.453.227,(72.205.453.227),-,-,(1.572.227.262.147),-,,72205453227.0,-72205453227.0,,,-1572227262147.0,
Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty TNHH Đầu tư Kinh doanh Thương mại BFF,Công ty trong cùng Tập đoàn,83.426.042.374,(72.338.497.260),-,-,(39.315.031.054),39.315.031.054,,83426042374.0,-72338497260.0,,,-39315031054.0,39315031054.0
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,-,-,(1.229.060.396.191),2.748.718.320.908,-,-,,,,-1229060396191.0,2748718320908.0,,
Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty trong cùng Tập đoàn,73.813.431.540,(68.124.672.424),-,-,-,-,,73813431540.0,-68124672424.0,,,,
Công ty TNHH Vinfashion,Công ty TNHH Vinfashion,Công ty TNHH Vinfashion,Công ty trong cùng Tập đoàn,-,-,-,-,(994.172.682.968),-,,,,,,-994172682968.0,
Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,21.299.928.337,(21.299.928.337),(29.418.510.639),18.058.363.500,(1.532.917.430.410),-,,21299928337.0,-21299928337.0,-29418510639.0,18058363500.0,-1532917430410.0,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,,Góp vốn/Nhận vốn góp các bên liên quan,Thanh toán/Phải thu khác các bên liên quan,Nhận tiền/Phải trả khác từ các bên liên quan,Nhận lại đặt cọc cho Hop đồng xây dựng nguyên tắc,,,,,,,,
Tập đoàn Vingroup – Công ty CP,Bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,,-,523.415.377.437,(523.415.377.437),(575.000.000.000),,,,,523415377437.0,-523415377437.0,-575000000000.0,
Công ty TNHH Vinpearlland,Bên liên quan > Công ty TNHH Vinpearlland,Công ty TNHH Vinpearlland,Công ty trong cùng Tập đoàn,,-,35.989.974.969,-,-,,,,,35989974969.0,,,
Công ty Cổ phần Địa ốc Thành phố Hoàng Gia,Bên liên quan > Công ty Cổ phần Địa ốc Thành phố Hoàng Gia,Công ty Cổ phần Địa ốc Thành phố Hoàng Gia,Công ty trong cùng Tập đoàn,,-,143.308.823.121,(139.584.080.322),-,,,,,143308823121.0,-139584080322.0,,
Warburg Pincus,Bên liên quan > Warburg Pincus,Warburg Pincus,Cổ đông,,(400.145.000.000),-,-,-,,,,-400145000000.0,,,,
Credit Suisse,Bên liên quan > Credit Suisse,Credit Suisse,Cổ đông,,(133.382.000.000),-,-,-,,,,-133382000000.0,,,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty trong cùng Tập đoàn,,1.815.000.000.000,-,-,-,,,,1815000000000.0,,,,
