row_label_raw,row_label_full,"Mã số 02. Khấu hao/khấu trừ tài sản cố định (bao gồm phân bổ lợi thế thương mại) > Khấu hao và hao mòn (Thuyết minh số 13,14,15) > Phân bổ lợi thế thương mại (Thuyết minh số 19)",Năm nay > 419.835.076.987 > 23.254.023.422,Đơn vị tính: VND > Năm trước > 319.799.469.894 > 3.309.041.097,numeric__Năm nay > 419.835.076.987 > 23.254.023.422,numeric__Đơn vị tính: VND > Năm trước > 319.799.469.894 > 3.309.041.097
Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,(126.695.368.227),-,-126695368227.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,316.393.732.182,323.108.510.991,316393732182.0,323108510991.0
Mã số 05 – Lợi nhuận từ các hoạt động đầu tư,Mã số 05 – Lợi nhuận từ các hoạt động đầu tư,Mã số 05 – Lợi nhuận từ các hoạt động đầu tư,,,,
Lãi từ thanh lý tài sản cố định (Thuyết minh số 33),Mã số 05 – Lợi nhuận từ các hoạt động đầu tư > Lãi từ thanh lý tài sản cố định (Thuyết minh số 33),Lãi từ thanh lý tài sản cố định (Thuyết minh số 33),2.615.193.442,(794.964.976),2615193442.0,-794964976.0
Lãi từ đầu tư vốn cố phần vào các đơn vị khác (Thuyết minh số 28.2),Mã số 05 – Lợi nhuận từ các hoạt động đầu tư > Lãi từ đầu tư vốn cố phần vào các đơn vị khác (Thuyết minh số 28.2),Lãi từ đầu tư vốn cố phần vào các đơn vị khác (Thuyết minh số 28.2),-,(12.773.122.503),,-12773122503.0
Lợi nhuận được chia từ công ty liên kết (Thuyết minh số 17.1),Mã số 05 – Lợi nhuận từ các hoạt động đầu tư > Lợi nhuận được chia từ công ty liên kết (Thuyết minh số 17.1),Lợi nhuận được chia từ công ty liên kết (Thuyết minh số 17.1),(225.007.516.703),(25.175.589.489),-225007516703.0,-25175589489.0
Thu nhập từ tiền lãi (Thuyết minh số 28.2),Mã số 05 – Lợi nhuận từ các hoạt động đầu tư > Thu nhập từ tiền lãi (Thuyết minh số 28.2),Thu nhập từ tiền lãi (Thuyết minh số 28.2),(739.879.089.732),(584.237.086.883),-739879089732.0,-584237086883.0
TỔNG CỘNG,Mã số 05 – Lợi nhuận từ các hoạt động đầu tư > TỔNG CỘNG,TỔNG CỘNG,(962.271.412.993),(622.980.763.851),-962271412993.0,-622980763851.0
