row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VNĐSố đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VNĐSố đầu năm(Trình bày lại)
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,36.465.395.891,51.861.628.420,36465395891.0,51861628420.0
Doanh thu chưa thực hiện dài hạn (i),Doanh thu chưa thực hiện dài hạn (i),Doanh thu chưa thực hiện dài hạn (i),78.698.524.146,2.993.376.484,78698524146.0,2993376484.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,115.163.920.037,54.855.004.904,115163920037.0,54855004904.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chưa thực hiện từ các bên liên quan (Thuyết minh số 35),Trong đó: > Doanh thu chưa thực hiện từ các bên liên quan (Thuyết minh số 35),Doanh thu chưa thực hiện từ các bên liên quan (Thuyết minh số 35),59.430.000.000,49.878.335.535,59430000000.0,49878335535.0
Doanh thu chưa thực hiện từ các bên khác,Trong đó: > Doanh thu chưa thực hiện từ các bên khác,Doanh thu chưa thực hiện từ các bên khác,55.733.920.037,4.976.669.369,55733920037.0,4976669369.0
