row_label_raw,row_label_full,"Mã số 21 – Mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21 – Mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác_1","Mã số 21 – Mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác_2","numeric__Mã số 21 – Mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác_1","numeric__Mã số 21 – Mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác_2"
"Mua sắm, xây dựng tài sản cố định và các tài sảndài hạn khác","Mua sắm, xây dựng tài sản cố định và các tài sảndài hạn khác","Mua sắm, xây dựng tài sản cố định và các tài sảndài hạn khác",(2.393.170.263.981),(1.917.535.116.304),-2393170263981.0,-1917535116304.0
Đặt cọc cho các dự án bất động sản tiềm năng,Đặt cọc cho các dự án bất động sản tiềm năng,Đặt cọc cho các dự án bất động sản tiềm năng,(553.184.989.212),(700.000.000.000),-553184989212.0,-700000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(2.946.355.253.193),(2.617.535.116.304),-2946355253193.0,-2617535116304.0
