row_label_raw,row_label_full,Mã số,Khoản mục,Đã được trình bày trước đây,Đã được trình bày trước đây > Trình bày lại,Đơn vị tính: VND > Được trình bày lại,Đơn vị tính: VND,numeric__Khoản mục,numeric__Đã được trình bày trước đây,numeric__Đã được trình bày trước đây > Trình bày lại,numeric__Đơn vị tính: VND > Được trình bày lại,numeric__Đơn vị tính: VND
,,,Đầu tư dài hạn khác,(1),2.613.600.000.000,(2.613.600.000.000),(**),,-1.0,2613600000000.0,-2613600000000.0,
215,215,215,Phải thu về cho vay dài hạn,(1),(*),2.613.600.000.000,2.613.600.000.000,,-1.0,,2613600000000.0,2613600000000.0
,,,Đầu tư tài chính ngắn hạn,(2),2.495.532.682.000,(2.495.532.682.000),(**),,-2.0,2495532682000.0,-2495532682000.0,
135,135,135,Phải thu về cho vay ngắn hạn,(2),(*),2.465.532.682.000,2.465.532.682.000,,-2.0,,2465532682000.0,2465532682000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,(2),(*),30.000.000.000,30.000.000.000,,-2.0,,30000000000.0,30000000000.0
151,151,151,Chi phí trả trước ngắn hạn,(3),28.166.014.174,49.944.858.749,78.110.872.923,,-3.0,28166014174.0,49944858749.0,78110872923.0
261,261,261,Chi phí trả trước dài hạn,"(3),(4)",203.565.018.866,(70.390.692.082),133.174.326.784,,,203565018866.0,-70390692082.0,133174326784.0
338,338,338,Vay và nợ thuê tài chính dài hạn,(4),9.914.041.666.667,(20.445.833.333),9.893.595.833.334,,-4.0,9914041666667.0,-20445833333.0,9893595833334.0
319,319,319,Phải trả ngắn hạn khác,(5),2.575.626.405.136,(51.861.628.420),2.523.764.776.716,,-5.0,2575626405136.0,-51861628420.0,2523764776716.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,(5),(*),51.861.628.420,51.861.628.420,,-5.0,,51861628420.0,51861628420.0
337,337,337,Phải trả dài hạn khác,(6),4.446.369.630.369,(2.993.376.484),4.443.376.253.885,,-6.0,4446369630369.0,-2993376484.0,4443376253885.0
336,336,336,Doanh thu chưa thực hiện dài hạn,(6),(*),2.993.376.484,2.993.376.484,,-6.0,,2993376484.0,2993376484.0
421,421,421,Lỗ lũy kế,(7),(309.891.897.566),178.055.416.737,(131.836.480.829),,-7.0,-309891897566.0,178055416737.0,-131836480829.0
155,155,155,Tài sản ngắn hạn khác,"(7),(8)",556.652.723.202,435.384.970.237,992.037.693.439,,,556652723202.0,435384970237.0,992037693439.0
242,242,242,Chi phí xây dựng cơ bản dở dang,(8),3.920.169.011.183,(257.329.553.500),3.662.839.457.683,,-8.0,3920169011183.0,-257329553500.0,3662839457683.0
