row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp(Thuyết minh số 34.2),Phải nộp > Thuế thu nhập doanh nghiệp(Thuyết minh số 34.2),Thuế thu nhập doanh nghiệp(Thuyết minh số 34.2),51.923.110.441,240.350.406.524,(191.131.293.554),101.142.223.411,51923110441.0,240350406524.0,-191131293554.0,101142223411.0
Thuế giá trị gia tăngTiền thuê đất và tiền sử dụng đất,Phải nộp > Thuế giá trị gia tăngTiền thuê đất và tiền sử dụng đất,Thuế giá trị gia tăngTiền thuê đất và tiền sử dụng đất,8.478.149.636,315.823.963.329,(130.012.566.120),194.289.546.845,8478149636.0,315823963329.0,-130012566120.0,194289546845.0
Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Phải nộp > Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,-,465.393.586.457,(294.783.821.208),170.609.765.249,,465393586457.0,-294783821208.0,170609765249.0
Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Phải nộp > Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,833.690.024,13.356.629.296,(12.810.942.938),1.379.376.382,833690024.0,13356629296.0,-12810942938.0,1379376382.0
Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Phải nộp > Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,Thuế thu nhập cá nhânThuế và các khoản phải nộp khác,1.095.020.230,15.927.603.909,(17.022.624.139),-,1095020230.0,15927603909.0,-17022624139.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,62.329.970.331,1.050.852.189.515,(645.761.247.959),467.420.911.887,62329970331.0,1050852189515.0,-645761247959.0,467420911887.0
,,,Số đầu năm,Số phát sinh trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăngđược khấu trừ,Phải thu > Thuế giá trị gia tăngđược khấu trừ,Thuế giá trị gia tăngđược khấu trừ,92.734.205.848,41.971.868.351,-,134.706.074.199,92734205848.0,41971868351.0,,134706074199.0
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,9.796.285.361,(9.796.285.361),-,-,9796285361.0,-9796285361.0,,
Thuế khác,Phải thu > Thuế khác,Thuế khác,11.831.746.239,(11.296.270.957),-,535.475.282,11831746239.0,-11296270957.0,,535475282.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,114.362.237.448,20.879.312.033,-,135.241.549.481,114362237448.0,20879312033.0,,135241549481.0
