row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,21.025.762.277.707,18.052.967.862.618,,,21025762277707.0,18052967862618.0
310,310,310,I. Nợ ngắn hạn,,6.215.329.052.600,3.713.002.398.915,,,6215329052600.0,3713002398915.0
311,311,311,1. Phải trả người bán ngắn hạn,19,876.981.149.118,147.648.218.322,,19.0,876981149118.0,147648218322.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,20,1.326.720.923.405,269.189.308.921,,20.0,1326720923405.0,269189308921.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,21,467.420.911.887,62.329.970.331,,21.0,467420911887.0,62329970331.0
314,314,314,4. Phải trả người lao động,,576.326.060,2.971.649.744,,,576326060.0,2971649744.0
315,315,315,5. Chi phí phải trả ngắn hạn,22,1.205.180.589.328,385.236.846.461,,22.0,1205180589328.0,385236846461.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,26,36.465.395.891,51.861.628.420,,26.0,36465395891.0,51861628420.0
319,319,319,7. Phải trả ngắn hạn khác,23,1.972.322.247.130,2.523.764.776.716,,23.0,1972322247130.0,2523764776716.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,24.1,326.765.352.277,270.000.000.000,,241.0,326765352277.0,270000000000.0
322,322,322,"9. Quỹ khen thường, phúc lợi",,2.896.157.504,-,,,2896157504.0,
330,330,330,II. Nợ dài hạn,,14.810.433.225.107,14.339.965.463.703,,,14810433225107.0,14339965463703.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,26,78.698.524.146,2.993.376.484,,26.0,78698524146.0,2993376484.0
337,337,337,2. Phải trả dài hạn khác,25,449.722.489.994,4.443.376.253.885,,25.0,449722489994.0,4443376253885.0
338,338,338,3. Vay và nợ thuê tài chính dài hạn,24.2,13.913.221.946.003,9.893.595.833.334,,242.0,13913221946003.0,9893595833334.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,34.3,361.549.589.966,-,,343.0,361549589966.0,
342,342,342,5. Dự phòng phải trả dài hạn,,7.240.674.998,-,,,7240674998.0,
400,400,400,D. VỐN CHỦ SỞ HỮU,,14.884.021.504.940,12.005.997.264.293,,,14884021504940.0,12005997264293.0
410,410,410,I. Vốn chủ sở hữu,27,14.884.021.504.940,12.005.997.264.293,,27.0,14884021504940.0,12005997264293.0
411,411,411,1. Vốn cổ phần đã góp,27.1,14.172.245.470.000,12.010.580.000.000,,271.0,14172245470000.0,12010580000000.0
411a,411a,411a,- Cổ phiếu cổ đông có quyền biểu quyết,27.2,8.246.919.920.000,8.237.821.920.000,,272.0,8246919920000.0,8237821920000.0
411b,411b,411b,- Cổ phiếu ưu đãi,27.2,5.925.325.550.000,3.772.758.080.000,,272.0,5925325550000.0,3772758080000.0
412,412,412,2. Thắng dư vốn cổ phần,27.1,98.197.697.689,71.256.000.000,,271.0,98197697689.0,71256000000.0
420,420,420,3. Quỹ khác thuộc vốn chủ sở hữu,,28.460.061.494,-,,,28460061494.0,
421,421,421,4. Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế),,511.872.577.344,(131.836.480.829),,,511872577344.0,-131836480829.0
421a,421a,421a,- (Lỗ lũy kế)/lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,,(131.836.480.829),90.567.499.171,,,-131836480829.0,90567499171.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối/ lỗ kỳ này,,643.709.058.173,(222.403.980.000),,,643709058173.0,-222403980000.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,,73.245.698.413,55.997.745.122,,,73245698413.0,55997745122.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,35.909.783.782.647,30.058.965.126.911,,,35909783782647.0,30058965126911.0
