row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bị văn phòng,Khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.421.824.948,13.439.372.935,878.128.969,464.792.096,-,18.204.118.948,3421824948.0,13439372935.0,878128969.0,464792096.0,,18204118948.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,10.094.884.658,3.387.009.966,745.111.879,1.591.505.095,373.204.500,16.191.716.098,10094884658.0,3387009966.0,745111879.0,1591505095.0,373204500.0,16191716098.0
- Xây dựng cơ bản hoàn thành,Nguyên giá: > - Xây dựng cơ bản hoàn thành,- Xây dựng cơ bản hoàn thành,4.937.212.013,683.193.241,-,-,-,5.620.405.254,4937212013.0,683193241.0,,,,5620405254.0
- Tăng do mua các công ty con mới,Nguyên giá: > - Tăng do mua các công ty con mới,- Tăng do mua các công ty con mới,97.338.005.926,32.918.128.867,3.156.273.950,65.614.726.227,2.592.267.400,201.619.402.370,97338005926.0,32918128867.0,3156273950.0,65614726227.0,2592267400.0,201619402370.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(65.235.700.366),(16.235.459.648),(3.156.273.950),(65.614.726.227),(2.592.267.400),(152.834.427.591),-65235700366.0,-16235459648.0,-3156273950.0,-65614726227.0,-2592267400.0,-152834427591.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(32.324.527.781),-,-,-,-,(32.324.527.781),-32324527781.0,,,,,-32324527781.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,18.231.699.398,34.192.245.361,1.623.240.848,2.056.297.191,373.204.500,56.476.687.298,18231699398.0,34192245361.0,1623240848.0,2056297191.0,373204500.0,56476687298.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.107.458.725,3.294.551.500,171.847.763,172.141.452,-,6.745.999.440,3107458725.0,3294551500.0,171847763.0,172141452.0,,6745999440.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,1.605.638.556,1.461.479.057,302.961.456,208.908.375,79.043.476,3.658.030.920,1605638556.0,1461479057.0,302961456.0,208908375.0,79043476.0,3658030920.0
- Tăng do mua các công ty con mới,Giá trị hao mòn lũy kế: > - Tăng do mua các công ty con mới,- Tăng do mua các công ty con mới,93.969.824.214,19.647.915.207,47.638.728,61.695.335.029,108.011.140,175.468.724.318,93969824214.0,19647915207.0,47638728.0,61695335029.0,108011140.0,175468724318.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(64.917.977.707),(4.113.512.038),(272.174.702),(61.858.937.818),(108.011.140),(131.270.613.405),-64917977707.0,-4113512038.0,-272174702.0,-61858937818.0,-108011140.0,-131270613405.0
- Giảm khác,Giá trị hao mòn lũy kế: > - Giảm khác,- Giảm khác,(30.377.429.993),-,-,-,-,(30.377.429.993),-30377429993.0,,,,,-30377429993.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,3.387.513.795,20.290.433.726,250.273.245,217.447.038,79.043.476,24.224.711.280,3387513795.0,20290433726.0,250273245.0,217447038.0,79043476.0,24224711280.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,314.366.223,10.144.821.435,706.281.206,292.650.644,-,11.458.119.508,314366223.0,10144821435.0,706281206.0,292650644.0,,11458119508.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,14.844.185.603,13.901.811.635,1.372.967.603,1.838.850.153,294.161.024,32.251.976.018,14844185603.0,13901811635.0,1372967603.0,1838850153.0,294161024.0,32251976018.0
