row_label_raw,row_label_full,Công ty Tân Liên Phát > Số đầu năm > Đầu tư tăng thêm trong năm,Năm nay > 3.336.564.478.376 > -,Đơn vị tính: VND > Năm trước > 1.100.000.000.000 > 2.211.388.888.887,numeric__Năm nay > 3.336.564.478.376 > -,numeric__Đơn vị tính: VND > Năm trước > 1.100.000.000.000 > 2.211.388.888.887
Lợi nhuận được chia,Lợi nhuận được chia,Lợi nhuận được chia,225.007.516.703,25.175.589.489,225007516703.0,25175589489.0
Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát (*),Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát (*),Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát (*),86.879.953.461,-,86879953461.0,
Số cuối năm,Số cuối năm,Số cuối năm,3.648.451.948.540,3.336.564.478.376,3648451948540.0,3336564478376.0
