row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua
Tải sản,Tải sản,Tải sản,Tải sản,
Tiền và tương đương tiền,Tải sản > Tiền và tương đương tiền,Tiền và tương đương tiền,5.935.563.734,5935563734.0
Đầu tư nắm giữ đến ngày đáo hạn,Tải sản > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,4.500.000.000,4500000000.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,4.826.573.087,4826573087.0
Chi phí xây dựng cơ bản dở dang (i),Tải sản > Chi phí xây dựng cơ bản dở dang (i),Chi phí xây dựng cơ bản dở dang (i),538.287.744.581,538287744581.0
Các tài sản khác,Tải sản > Các tài sản khác,Các tài sản khác,9.423.483.879,9423483879.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,562.973.365.281,562973365281.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Thuế TNDN hoãn lại phải trả (i) (Thuyết minh số 34.3),Nợ phải trả > Thuế TNDN hoãn lại phải trả (i) (Thuyết minh số 34.3),Thuế TNDN hoãn lại phải trả (i) (Thuyết minh số 34.3),105.509.800.000,105509800000.0
Các khoản nợ phải trả khác,Nợ phải trả > Các khoản nợ phải trả khác,Các khoản nợ phải trả khác,642.947.443,642947443.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,106.152.747.443,106152747443.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,456.820.617.838,456820617838.0
Lãi từ giao dịch mua rè,Nợ phải trả > Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,(126.695.368.227),-126695368227.0
Tổng giá phí hợp nhất kinh doanh (ii),Nợ phải trả > Tổng giá phí hợp nhất kinh doanh (ii),Tổng giá phí hợp nhất kinh doanh (ii),330.125.249.611,330125249611.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,5.935.563.734,5935563734.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(330.125.249.611),-330125249611.0
Lưu chuyển tiền thuần từ nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua,Lưu chuyển tiền thuần từ nghiệp vụ mua,(324.189.685.877),-324189685877.0
